start,type,end
Polignano a Mare,HAS_ACTIVITY,Polignano a Mare
Polignano a Mare,HAS_ACTIVITY,Polignano a Mare Gezisi
Pompei,HAS_ACTIVITY,Pompei Antik Kenti
Alberobello,HAS_RESTAURANT,Ristorante Blunotte
Alberobello,HAS_RESTAURANT,Ristorante La Cantina
Lecce,HAS_ACTIVITY,Roma Amfi Tiyatrosu - Lecce
Venedik,HAS_ACTIVITY,Saint Nicholas Bazilikası
Venedik,HAS_ACTIVITY,San Giuseppe Kilisesi
Lecce,HAS_ACTIVITY,San Giuseppe Kilisesi - Lecce
Venedik,HAS_ACTIVITY,San Sabino Katedrali
Venedik,HAS_ACTIVITY,Sant'Oronzo Meydanı
Venedik,HAS_ACTIVITY,Santa Croce Bazilikası
Lecce,HAS_ACTIVITY,Santa Croce Bazilikası - Lecce
Lecce,HAS_ACTIVITY,Sant’Oronzo Meydanı - Lecce
Venedik,HAS_ACTIVITY,Strada delle Orecchiette
Alberobello,HAS_ACTIVITY,Trulli Evleri - Alberobello
Venedik,HAS_ACTIVITY,Vezüv Yanardağı
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,Arkeoloji
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,Barok
Alegra Benardete ile Sicilya’da Nefes,HAS_CITY,Noto
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,Noto
Alegra Benardete ile Sicilya’da Nefes,HAS_CITY,Ortigia
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,Ortigia
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,Sicilya
Alegra Benardete ile Sicilya’da Nefes,HAS_CITY,Siracusa
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,Siracusa
Alegra Benardete ile Sicilya’da Nefes,HAS_CITY,Taormina
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,Taormina
Alegra Benardete ile Sicilya’da Nefes,HAS_COUNTRY,İtalya
Alegra Benardete ile Sicilya’da Nefes,HAS_HIGHLIGHT,İtalya
Amalfi,HAS_ACTIVITY,Amalfi Kasabası Gezisi
Venedik,HAS_ACTIVITY,Basilica di Sant’Antonino
Venedik,HAS_ACTIVITY,Bottega Della Tarsia Lignea Müzesi
Venedik,HAS_ACTIVITY,Castel dell’Ovo
Venedik,HAS_ACTIVITY,Cattedrale di Sant’Andrea
Naples,HAS_ACTIVITY,Duomo di Napoli
Amalfi,HAS_HOTEL,Hotel Rufolo
Venedik,HAS_ACTIVITY,Il Pio Monte della Misericordia
Naples,HAS_ACTIVITY,Napoli Şehri Gezisi
Venedik,HAS_ACTIVITY,Palazzo Reale
Venedik,HAS_ACTIVITY,Piazza Duomo
Venedik,HAS_ACTIVITY,Piazza Tasso
Venedik,HAS_ACTIVITY,Piazza dei Dogi
Venedik,HAS_ACTIVITY,Piazza dello Spirito Santo
Pompei,HAS_ACTIVITY,Pompei Şehri Ziyareti
Ravello,HAS_ACTIVITY,Ravello - Villa Cimbrone Bahçesi
Ravello,HAS_ACTIVITY,Ravello - Villa Rufolo
Venedik,HAS_ACTIVITY,Sedile Dominova
Sorrente,HAS_ACTIVITY,Sorrento Gezisi
Sorrente,HAS_ACTIVITY,Sorrento Peninsula Arkeoloji Müzesi
Amalfi,HAS_ACTIVITY,Tam Gün Tekne Gezisi
Amalfi,HAS_HOTEL,Villa Piedimonte
Amboise,HAS_ACTIVITY,Amboise Şatosu
Amboise,HAS_RESTAURANT,Avarum Restaurant
Bruges,HAS_ACTIVITY,Brugge Gezisi
Venedik,HAS_ACTIVITY,Cheverny Şatosu
Blois,HAS_ACTIVITY,Château de Blois
Venedik,HAS_ACTIVITY,Château de Chambord
Venedik,HAS_ACTIVITY,Château de Chenonceau
Venedik,HAS_ACTIVITY,Château du Clos Lucé
Venedik,HAS_ACTIVITY,Clos de Lucé
Gent,HAS_ACTIVITY,Gent Gezisi
Amboise,HAS_HOTEL,Hotel De Orangerie
Amboise,HAS_HOTEL,Hotel Dukes' Palace
Amboise,HAS_HOTEL,Hotel Heritage Relais Chateau
Amboise,HAS_HOTEL,Hotel Van Cleef
Loira,HAS_ACTIVITY,Loire Vadisi Balon Turu
Loira,HAS_ACTIVITY,Loire Vadisi Şarap Bağları
Amboise,HAS_RESTAURANT,Restaurante Amour Blanc
Tours,HAS_ACTIVITY,Tours Şehri Gezisi
Venedik,HAS_ACTIVITY,Villandry Şatosu
Amman,HAS_ACTIVITY,Amman şehir turu
Dead Sea,HAS_ACTIVITY,Dead Sea’de konaklama ve dinlenme
Madaba,HAS_ACTIVITY,Mount Nebo ve Madaba ziyareti
Petra,HAS_ACTIVITY,Petra Antik Kenti gezisi
Rum Vadisi Koruma Alanı,HAS_ACTIVITY,Wadi Rum çöl safarisi
Arjantin Gezisi,HAS_COUNTRY,Arjantin
Arjantin Gezisi,HAS_HIGHLIGHT,Arjantin
Arjantin Gezisi,HAS_HIGHLIGHT,Balina
Arjantin Gezisi,HAS_CITY,Buenos Aires
Arjantin Gezisi,HAS_HIGHLIGHT,Buenos Aires
Arjantin Gezisi,HAS_HIGHLIGHT,Doğa
Arjantin Gezisi,HAS_CITY,Puerto Madryn
Arjantin Gezisi,HAS_HIGHLIGHT,Puerto Madryn
Arjantin Gezisi,HAS_HIGHLIGHT,Tango
Arjantin Gezisi,HAS_CITY,Ushuaia
Arjantin Gezisi,HAS_HIGHLIGHT,Ushuaia
Arles,HAS_ACTIVITY,Arles Gezisi
Arles,HAS_ACTIVITY,Arles Luma Müzesi ziyareti
Arles,HAS_ACTIVITY,Arles şehir gezisi
Venedik,HAS_ACTIVITY,Art Tour
Venedik,HAS_ACTIVITY,Atelier de Cezanne ziyareti
Avignon,HAS_ACTIVITY,Avignon Gezisi
Arles,HAS_RESTAURANT,Café Tadoa Ando
Venedik,HAS_ACTIVITY,Carrières de Lumières ziyareti
Venedik,HAS_ACTIVITY,Chateau Estoublon
Venedik,HAS_ACTIVITY,Chateau La Coste Art Tour
Arles,HAS_RESTAURANT,Chateau d’Estoublon
Arles,HAS_RESTAURANT,Château La Coste
Venedik,HAS_ACTIVITY,Château La Coste sanat ve mimari gezisi
Venedik,HAS_ACTIVITY,Château La Coste şarap evi ve bahçeleri ziyareti
Arles,HAS_ACTIVITY,Fondation Vincent van Gogh Arles ziyareti
Gordes,HAS_ACTIVITY,Gordes Gezisi
L'Isle-sur-la-Sorgue,HAS_ACTIVITY,L'Isle-sur-la-Sorgue Gezisi
Venedik,HAS_ACTIVITY,LUMA Müzesi
Arles,HAS_RESTAURANT,La Luma Drum Cafe
Arles,HAS_RESTAURANT,La Taula Gallici's Gourmet Restaurant
Provence,HAS_ACTIVITY,Les Baux-de-Provence Gezisi
Arles,HAS_RESTAURANT,Les Deux Garçons
Venedik,HAS_ACTIVITY,Les Deux Garçons’da kahve molası
L’Isle-sur-la-Sorgue,HAS_ACTIVITY,L’Isle-sur-la-Sorgue Gezisi
Venedik,HAS_ACTIVITY,Mirabeau Caddesi’nde gezinti
Venedik,HAS_ACTIVITY,Mucem Müzesi ziyareti
Venedik,HAS_ACTIVITY,Palais des Papes ziyareti
Arles,HAS_RESTAURANT,Restaurant L'Oriel
Rossiglione (regione),HAS_ACTIVITY,Roussillon Gezisi
Rossiglione (regione),HAS_ACTIVITY,Roussillon ve Gordes gezisi
Venedik,HAS_ACTIVITY,Saint-Paul de Mausole ziyareti
Provence,HAS_ACTIVITY,Saint-Rémy-de-Provence Gezisi
Arles,HAS_RESTAURANT,Tadao Ando Café Restaurant
Venedik,HAS_ACTIVITY,Van Gogh Müzesi
Venedik,HAS_ACTIVITY,Sabah ve Akşam Safarileri
Plaine du Serengeti,HAS_ACTIVITY,Serengeti Ulusal Parkı Safari
Arusha,HAS_HOTEL,Singita Lodge
Arusha,HAS_HOTEL,Singita Sasakawa Lodge
Venedik,HAS_ACTIVITY,Öğle Safarisi
Venedik,HAS_ACTIVITY,Büyük Giza Sfenksi
Venedik,HAS_ACTIVITY,Edfu Tapınağı
Venedik,HAS_ACTIVITY,Giza Piramitleri
Venedik,HAS_ACTIVITY,High Dam
Venedik,HAS_ACTIVITY,Karnak Tapınağı
Venedik,HAS_ACTIVITY,Khan El Khalili Çarşısı
Venedik,HAS_ACTIVITY,Kom Ombo Tapınağı
Louxor,HAS_ACTIVITY,Luxor East Bank Gezisi
Louxor,HAS_ACTIVITY,Luxor Tapınağı
Aswan,HAS_HOTEL,Marriott Mena House Hotel
Aswan,HAS_HOTEL,Movenpick Sunray Nile Cruise
Venedik,HAS_ACTIVITY,Mısır Müzesi
Venedik,HAS_ACTIVITY,Nil Nehri Sıcak Hava Balonu
Venedik,HAS_ACTIVITY,Philae Tapınağı
Auckland,HAS_ACTIVITY,Auckland Şehir Gezisi
Venedik,HAS_ACTIVITY,Blue Mountains Gezisi
Venedik,HAS_ACTIVITY,Bondi Plajı
Sidney,HAS_ACTIVITY,Botanik Bahçeleri - Sydney
Venedik,HAS_ACTIVITY,Flinders Chase National Park
Venedik,HAS_ACTIVITY,Hyde Park
Wellington,HAS_HOTEL,Intercontinental Hotel Wellington
Gold Coast,HAS_HOTEL,JW Marriott Gold Coast Resort & Spa
Singapore,HAS_HOTEL,JW Marriott Hotel Singapore South Beach
Venedik,HAS_ACTIVITY,Macquarie Caddesi
Venedik,HAS_ACTIVITY,Mrs Macquarie’s Chair
Venedik,HAS_ACTIVITY,Oxford Caddesi
Venedik,HAS_ACTIVITY,Paddington
Sidney,HAS_HOTEL,Park Hyatt Sydney
Tekapo,HAS_HOTEL,Peppers Blue Water Resort Lake Tekapo
Rotorua,HAS_HOTEL,Pullman Rotorua
Queenstown,HAS_ACTIVITY,Queenstown Panoramik Gezisi
Venedik,HAS_ACTIVITY,Seal Bay Conservation Park
Venedik,HAS_ACTIVITY,St. Mary Katedrali
Sidney,HAS_HOTEL,Sydney Harbour Marriott Hotel at Circular Quay
Sidney,HAS_ACTIVITY,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi
Sidney,HAS_ACTIVITY,Sydney Köprüsü
Sidney,HAS_ACTIVITY,Sydney Opera Binası
Sidney,HAS_ACTIVITY,Sydney Opera Binası & Harbour Bridge
Venedik,HAS_ACTIVITY,Te Puia Maori Dansı ve Gayzerler
Auckland,HAS_HOTEL,The Rees Hotel & Luxury Apartments
Venedik,HAS_ACTIVITY,The Rocks
Venedik,HAS_ACTIVITY,Weta Workshop
Arles,HAS_ACTIVITY,Arles Luma Müzesi ziyareti
Venedik,HAS_ACTIVITY,Art Tour
Venedik,HAS_ACTIVITY,Atelier de Cezanne ziyareti
Avignon,HAS_ACTIVITY,Avignon Gezisi
Avignon,HAS_RESTAURANT,Café Tadoa Ando
Venedik,HAS_ACTIVITY,Carrières de Lumières ziyareti
Venedik,HAS_ACTIVITY,Chateau Estoublon
Venedik,HAS_ACTIVITY,Château La Coste sanat ve mimari gezisi
Arles,HAS_ACTIVITY,Fondation Vincent van Gogh Arles ziyareti
L'Isle-sur-la-Sorgue,HAS_ACTIVITY,L'Isle-sur-la-Sorgue Gezisi
Venedik,HAS_ACTIVITY,LUMA Müzesi
Avignon,HAS_RESTAURANT,La Luma Drum Cafe
Avignon,HAS_RESTAURANT,La Taula Gallici's Gourmet Restaurant
Provence,HAS_ACTIVITY,Les Baux-de-Provence Gezisi
Avignon,HAS_RESTAURANT,Les Deux Garçons
Venedik,HAS_ACTIVITY,Les Deux Garçons’da kahve molası
Venedik,HAS_ACTIVITY,Mucem Müzesi ziyareti
Venedik,HAS_ACTIVITY,Palais des Papes ziyareti
Avignon,HAS_RESTAURANT,Restaurant L'Oriel
Venedik,HAS_ACTIVITY,Saint-Paul de Mausole ziyareti
Venedik,HAS_ACTIVITY,Van Gogh Müzesi
Avustralya Gezisi,HAS_CITY,Adelaide
Avustralya Gezisi,HAS_TRANSPORT,Adelaide - Brisbane İç Hat Uçuşu
Avustralya Gezisi,HAS_COUNTRY,Avustralya
Avustralya Gezisi,HAS_HIGHLIGHT,Avustralya
Avustralya Gezisi,HAS_CITY,Ballarat
Avustralya Gezisi,HAS_CITY,Barossa Valley
Avustralya Gezisi,HAS_CITY,Brisbane
Avustralya Gezisi,HAS_CITY,Canberra
Avustralya Gezisi,HAS_HIGHLIGHT,Gold Coast
Avustralya Gezisi,HAS_CITY,Hahndorf
Avustralya Gezisi,HAS_CITY,Hobart
Avustralya Gezisi,HAS_TRANSPORT,Hobart - Adelaide İç Hat Uçuşu
Avustralya Gezisi,HAS_CITY,Melbourne
Avustralya Gezisi,HAS_HIGHLIGHT,Melbourne
Avustralya Gezisi,HAS_TRANSPORT,Melbourne - Hobart İç Hat Uçuşu
Avustralya Gezisi,HAS_HIGHLIGHT,Opera House
Avustralya Gezisi,HAS_CITY,Surfers Paradise
Avustralya Gezisi,HAS_CITY,Sydney
Avustralya Gezisi,HAS_HIGHLIGHT,Sydney
Avustralya Gezisi,HAS_HIGHLIGHT,Tasmanya
Avustralya Gezisi,HAS_TRANSPORT,Türk Hava Yolları TK168
Avustralya Gezisi,HAS_TRANSPORT,Türk Hava Yolları TK169
Avustralya Gezisi,HAS_HIGHLIGHT,Şarap
Avustralya – Yeni Zelanda,HAS_CITY,Auckland
Avustralya – Yeni Zelanda,HAS_COUNTRY,Avustralya
Avustralya – Yeni Zelanda,HAS_HIGHLIGHT,Avustralya
Avustralya – Yeni Zelanda,HAS_CITY,Melbourne
Avustralya – Yeni Zelanda,HAS_HIGHLIGHT,Opera Binası
Avustralya – Yeni Zelanda,HAS_HIGHLIGHT,Plaj
Avustralya – Yeni Zelanda,HAS_CITY,Queenstown
Avustralya – Yeni Zelanda,HAS_CITY,Rotorua
Avustralya – Yeni Zelanda,HAS_CITY,Sydney
Avustralya – Yeni Zelanda,HAS_HIGHLIGHT,Sydney
Avustralya – Yeni Zelanda,HAS_TRANSPORT,Türk Hava Yolları TK174
Avustralya – Yeni Zelanda,HAS_COUNTRY,Yeni Zelanda
Avustralya – Yeni Zelanda,HAS_HIGHLIGHT,Yeni Zelanda
BAE Gezisi - Fuat Pamukçu,HAS_CITY,Abu Dhabi
BAE Gezisi - Fuat Pamukçu,HAS_HIGHLIGHT,Abu Dhabi
BAE Gezisi - Fuat Pamukçu,HAS_TRANSPORT,Abu Dhabi – Ras Al Khaimah transferi
BAE Gezisi - Fuat Pamukçu,HAS_HIGHLIGHT,BAE
BAE Gezisi - Fuat Pamukçu,HAS_COUNTRY,Birleşik Arap Emirlikleri
BAE Gezisi - Fuat Pamukçu,HAS_CITY,Dubai
BAE Gezisi - Fuat Pamukçu,HAS_HIGHLIGHT,Dubai
BAE Gezisi - Fuat Pamukçu,HAS_HIGHLIGHT,Ferrari World
BAE Gezisi - Fuat Pamukçu,HAS_CITY,Ras Al Khaimah
BAE Gezisi - Fuat Pamukçu,HAS_HIGHLIGHT,Ras Al Khaimah
BAE Gezisi - Fuat Pamukçu,HAS_TRANSPORT,Ras Al Khaimah – Dubai transferi
BAE Gezisi - Fuat Pamukçu,HAS_HIGHLIGHT,Yılbaşı
BAE Gezisi - Fuat Pamukçu,HAS_HIGHLIGHT,Çöl Safarisi
BAE Gezisi - Fuat Pamukçu,HAS_TRANSPORT,İstanbul – Abu Dhabi uçuşu
BAE Gezisi - Fuat Pamukçu,HAS_TRANSPORT,Şehir içi ve otel transferleri
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_CITY,Bali
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_CITY,Bangkok
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_COUNTRY,Endonezya
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_COUNTRY,Tayland
BALKAN CULTURE TOUR 2025,HAS_COUNTRY,BULGARIA
BALKAN CULTURE TOUR 2025,HAS_TRANSPORT,BUS
BALKAN CULTURE TOUR 2025,HAS_HIGHLIGHT,CULTURE
BALKAN CULTURE TOUR 2025,HAS_HIGHLIGHT,HISTORY
BALKAN CULTURE TOUR 2025,HAS_CITY,LEG1
BALKAN CULTURE TOUR 2025,HAS_CITY,LEG2
BALKAN CULTURE TOUR 2025,HAS_COUNTRY,NORTH MACEDONIA
BALKAN CULTURE TOUR 2025,HAS_COUNTRY,TURKEY
BALKANS 2025,HAS_COUNTRY,BULGARIA
BALKANS 2025,HAS_TRANSPORT,BUS
BALKANS 2025,HAS_HIGHLIGHT,CULTURE
BALKANS 2025,HAS_CITY,LEG1
BALKANS 2025,HAS_CITY,LEG2
BALKANS 2025,HAS_COUNTRY,NORTH MACEDONIA
BALKANS 2025,HAS_COUNTRY,TURKEY
BALKANS LOOP 2025,HAS_COUNTRY,BULGARIA
BALKANS LOOP 2025,HAS_TRANSPORT,BUS
BALKANS LOOP 2025,HAS_HIGHLIGHT,CULTURE
BALKANS LOOP 2025,HAS_CITY,LEG1
BALKANS LOOP 2025,HAS_CITY,LEG2
BALKANS LOOP 2025,HAS_COUNTRY,NORTH MACEDONIA
BALKANS LOOP 2025,HAS_COUNTRY,TURKEY
BARCELONA,HAS_ACTIVITY,CASA BATLLO
Venedik,HAS_ACTIVITY,COLOSSEUM
Venedik,HAS_ACTIVITY,EIFFEL TOWER
BARCELONA,HAS_HOTEL,EIXAMPLE HOTEL
BARCELONA,HAS_HOTEL,FORUM INN
BARCELONA,HAS_HOTEL,HOTEL LUMIERE
BARCELONA,HAS_ACTIVITY,PARK GUELL
Venedik,HAS_ACTIVITY,SAGRADA FAMILIA
BARCELONA,HAS_RESTAURANT,TAPAS BAR
ROME,HAS_RESTAURANT,TRATTORIA ROMANA
BARCELONA ARCHITECTURE 2024,HAS_HIGHLIGHT,ARCHITECTURE
BARCELONA ARCHITECTURE 2024,HAS_CITY,BARCELONA
BARCELONA ARCHITECTURE 2024,HAS_TRANSPORT,BUS
BARCELONA ARCHITECTURE 2024,HAS_HIGHLIGHT,CITY BREAK
BARCELONA ARCHITECTURE 2024,HAS_TRANSPORT,METRO
BARCELONA ARCHITECTURE 2024,HAS_COUNTRY,SPAIN
BARCELONA TURU 09 – 11 KASIM,HAS_DATE_START,2025-11-09
BARCELONA TURU 09 – 11 KASIM,HAS_DATE_END,2025-11-11
BARCELONA TURU 09 – 11 KASIM,HAS_CITY,Barcelona
BARCELONA TURU 09 – 11 KASIM,HAS_SEASON,Sonbahar
BARCELONA TURU 09 – 11 KASIM,HAS_COUNTRY,İspanya
BELGRAD TURU 21 – 23 EYLÜL,HAS_DATE_START,2025-09-21
BELGRAD TURU 21 – 23 EYLÜL,HAS_DATE_END,2025-09-23
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Belgrad
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Karlofca
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Novi Sad
BELGRAD TURU 21 – 23 EYLÜL,HAS_SEASON,Sonbahar
BELGRAD TURU 21 – 23 EYLÜL,HAS_COUNTRY,Sırbistan
