start,end,type,city,activity
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Sydney,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Tekapo,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Wellington,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Yeni Zelanda,HAS_COUNTRY,,
Abu Dhabi,"Address Dubai Mall, Dubai",HAS_HOTEL,,
Abu Dhabi,Dubai Autodrome Circuit,HAS_ACTIVITY,,
Abu Dhabi,Estiatorio Milos Dubai,HAS_RESTAURANT,,
Abu Dhabi,Ferrari World Abu Dhabi – Driving Experience,HAS_ACTIVITY,,
Abu Dhabi,Hakkasan Abu Dhabi,HAS_RESTAURANT,,
Abu Dhabi,La Cantine Beach,HAS_RESTAURANT,,
Abu Dhabi,"Louvre Museum, Abu Dhabi",HAS_ACTIVITY,,
Abu Dhabi,New Year's Eve Celebration - The Restaurant at Address Dubai Mall,HAS_ACTIVITY,,
Abu Dhabi,Sunset Electric Dragon Boat Experience - Jubail Mangrove Park,HAS_ACTIVITY,,
Abu Dhabi,The Guild Dubai,HAS_RESTAURANT,,
Abu Dhabi,The MAINE Oyster Bar & Grill JBR,HAS_RESTAURANT,,
Abu Dhabi,The Restaurant at Address Dubai Mall,HAS_RESTAURANT,,
Abu Dhabi,The Ritz Carlton Ras Al Khaimah,HAS_HOTEL,,
Abu Dhabi,"The St. Regis Saadiyat Island Resort, Abu Dhabi",HAS_HOTEL,,
Abu Dhabi,Ula Beach RAK,HAS_RESTAURANT,,
Abu Dhabi,WHITE Beach Dubai,HAS_RESTAURANT,,
Abu Dhabi,Çöl Safarisi,HAS_ACTIVITY,,
Abu Dhabi,Çölde Akşam Yemeği,HAS_ACTIVITY,,
Adelaide,Alman Kasabası Hahndorf,HAS_ACTIVITY,,
Adelaide,Anayasa Limanı - Hobart,HAS_ACTIVITY,,
Adelaide,Anzac-Atatürk Anıtı,HAS_ACTIVITY,,
Adelaide,Ateş Böceği Mağarası,HAS_ACTIVITY,,
Adelaide,Barossa Valley Şarap Bağları,HAS_ACTIVITY,,
Adelaide,Brisbane Şehir Turu,HAS_ACTIVITY,,
Adelaide,Canberra Şehir Turu,HAS_ACTIVITY,,
Adelaide,Darling Harbour,HAS_ACTIVITY,,
Adelaide,Fitzroy Gardens & Captain Cook’un Evi,HAS_ACTIVITY,,
Adelaide,Franklin Meydanı - Hobart,HAS_ACTIVITY,,
Adelaide,Hyde Park Barracks - Sydney,HAS_ACTIVITY,,
Adelaide,Melbourne Müzesi,HAS_ACTIVITY,,
Adelaide,Mount Wellington,HAS_ACTIVITY,,
Adelaide,Mrs Macquarie’s Chair,HAS_ACTIVITY,,
Adelaide,Nehir Kenarı Restoran - Adelaide,HAS_RESTAURANT,,
Adelaide,Parlamento ve Hazine Binası - Melbourne,HAS_ACTIVITY,,
Adelaide,Royal Exhibition Binası - Melbourne,HAS_ACTIVITY,,
Adelaide,Sanat Galerisi - Melbourne,HAS_ACTIVITY,,
Adelaide,Sullivan’s Cove,HAS_ACTIVITY,,
Adelaide,Surfers Paradise - Gold Coast,HAS_ACTIVITY,,
Adelaide,Sydney Harbour Bridge,HAS_ACTIVITY,,
Adelaide,Sydney Opera House,HAS_ACTIVITY,,
Adelaide,"The Tasman, a Luxury Collection Hotel, Hobart",HAS_HOTEL,,
Adelaide,Ulusal Müze - Sydney,HAS_ACTIVITY,,
Adelaide,Yerel Lüks Restoran - Adelaide,HAS_RESTAURANT,,
Aix-en-Provence,Arles Luma Müzesi ziyareti,HAS_ACTIVITY,,
Aix-en-Provence,Arles şehir gezisi,HAS_ACTIVITY,,
Aix-en-Provence,Atelier de Cezanne ziyareti,HAS_ACTIVITY,,
Aix-en-Provence,Carrières de Lumières ziyareti,HAS_ACTIVITY,,
Aix-en-Provence,Château La Coste,HAS_RESTAURANT,,
Aix-en-Provence,Château La Coste sanat ve mimari gezisi,HAS_ACTIVITY,,
Aix-en-Provence,Château La Coste şarap evi ve bahçeleri ziyareti,HAS_ACTIVITY,,
Aix-en-Provence,Fondation Vincent van Gogh Arles ziyareti,HAS_ACTIVITY,,
Aix-en-Provence,La Luma Drum Cafe,HAS_RESTAURANT,,
Aix-en-Provence,Les Deux Garçons,HAS_RESTAURANT,,
Aix-en-Provence,Les Deux Garçons’da kahve molası,HAS_ACTIVITY,,
Aix-en-Provence,Mirabeau Caddesi’nde gezinti,HAS_ACTIVITY,,
Aix-en-Provence,Mucem Müzesi ziyareti,HAS_ACTIVITY,,
Aix-en-Provence,Palais des Papes ziyareti,HAS_ACTIVITY,,
Aix-en-Provence,Roussillon ve Gordes gezisi,HAS_ACTIVITY,,
Aix-en-Provence,Saint-Paul de Mausole ziyareti,HAS_ACTIVITY,,
Alberobello,Alberobello Trulli Evleri,HAS_ACTIVITY,,
Alberobello,Antik Roma Amfitiyatrosu,HAS_ACTIVITY,,
Alberobello,Bari Şehir Gezisi,HAS_ACTIVITY,,
Alberobello,Canne Bianche Lifestyle & Hotel,HAS_HOTEL,,
Alberobello,Domenico Modugno Heykeli - Polignano a Mare,HAS_ACTIVITY,,
Alberobello,Hohenstaufen Kalesi,HAS_ACTIVITY,,
Alberobello,Lecce Şehir Gezisi,HAS_ACTIVITY,,
Alberobello,Locorotondo Şehir Gezisi,HAS_ACTIVITY,,
Alberobello,Matera Gezisi,HAS_ACTIVITY,,
Alberobello,Matera Kaya Evleri,HAS_ACTIVITY,,
Alberobello,Matera Kiliseleri ve Mağaraları,HAS_ACTIVITY,,
Alberobello,Monopoli Gezisi,HAS_ACTIVITY,,
Alberobello,Monopoli Tarihi Merkezi,HAS_ACTIVITY,,
Alberobello,Napoli Tarihi Merkezi,HAS_ACTIVITY,,
Alberobello,Old Town,HAS_ACTIVITY,,
Alberobello,Palazzo dei Celestini,HAS_ACTIVITY,,
Alberobello,Palazzo dei Celestini - Lecce,HAS_ACTIVITY,,
Alberobello,Pizzeria Casa Pinto,HAS_RESTAURANT,,
Alberobello,Polignano a Mare,HAS_ACTIVITY,,
Alberobello,Polignano a Mare Gezisi,HAS_ACTIVITY,,
Alberobello,Pompei Antik Kenti,HAS_ACTIVITY,,
Alberobello,Ristorante Blunotte,HAS_RESTAURANT,,
Alberobello,Ristorante La Cantina,HAS_RESTAURANT,,
Alberobello,Roma Amfi Tiyatrosu - Lecce,HAS_ACTIVITY,,
Alberobello,Saint Nicholas Bazilikası,HAS_ACTIVITY,,
Alberobello,San Giuseppe Kilisesi,HAS_ACTIVITY,,
Alberobello,San Giuseppe Kilisesi - Lecce,HAS_ACTIVITY,,
Alberobello,San Sabino Katedrali,HAS_ACTIVITY,,
Alberobello,Sant'Oronzo Meydanı,HAS_ACTIVITY,,
Alberobello,Santa Croce Bazilikası,HAS_ACTIVITY,,
Alberobello,Santa Croce Bazilikası - Lecce,HAS_ACTIVITY,,
Alberobello,Sant’Oronzo Meydanı - Lecce,HAS_ACTIVITY,,
Alberobello,Strada delle Orecchiette,HAS_ACTIVITY,,
Alberobello,Trulli Evleri - Alberobello,HAS_ACTIVITY,,
Alberobello,Vezüv Yanardağı,HAS_ACTIVITY,,
Alegra Benardete ile Sicilya’da Nefes,Arkeoloji,HAS_HIGHLIGHT,,
Alegra Benardete ile Sicilya’da Nefes,Barok,HAS_HIGHLIGHT,,
Alegra Benardete ile Sicilya’da Nefes,Noto,HAS_CITY,,
Alegra Benardete ile Sicilya’da Nefes,Noto,HAS_HIGHLIGHT,,
Alegra Benardete ile Sicilya’da Nefes,Ortigia,HAS_CITY,,
Alegra Benardete ile Sicilya’da Nefes,Ortigia,HAS_HIGHLIGHT,,
Alegra Benardete ile Sicilya’da Nefes,Sicilya,HAS_HIGHLIGHT,,
Alegra Benardete ile Sicilya’da Nefes,Siracusa,HAS_CITY,,
Alegra Benardete ile Sicilya’da Nefes,Siracusa,HAS_HIGHLIGHT,,
Alegra Benardete ile Sicilya’da Nefes,Taormina,HAS_CITY,,
Alegra Benardete ile Sicilya’da Nefes,Taormina,HAS_HIGHLIGHT,,
Alegra Benardete ile Sicilya’da Nefes,İtalya,HAS_COUNTRY,,
Alegra Benardete ile Sicilya’da Nefes,İtalya,HAS_HIGHLIGHT,,
Amalfi,Amalfi Kasabası Gezisi,HAS_ACTIVITY,,
Amalfi,Basilica di Sant’Antonino,HAS_ACTIVITY,,
Amalfi,Bottega Della Tarsia Lignea Müzesi,HAS_ACTIVITY,,
Amalfi,Castel dell’Ovo,HAS_ACTIVITY,,
Amalfi,Cattedrale di Sant’Andrea,HAS_ACTIVITY,,
Amalfi,Duomo di Napoli,HAS_ACTIVITY,,
Amalfi,Hotel Rufolo,HAS_HOTEL,,
Amalfi,Il Pio Monte della Misericordia,HAS_ACTIVITY,,
Amalfi,Napoli Şehri Gezisi,HAS_ACTIVITY,,
Amalfi,Palazzo Reale,HAS_ACTIVITY,,
Amalfi,Piazza Duomo,HAS_ACTIVITY,,
Amalfi,Piazza Tasso,HAS_ACTIVITY,,
Amalfi,Piazza dei Dogi,HAS_ACTIVITY,,
Amalfi,Piazza dello Spirito Santo,HAS_ACTIVITY,,
Amalfi,Pompei Şehri Ziyareti,HAS_ACTIVITY,,
Amalfi,Ravello - Villa Cimbrone Bahçesi,HAS_ACTIVITY,,
Amalfi,Ravello - Villa Rufolo,HAS_ACTIVITY,,
Amalfi,Sedile Dominova,HAS_ACTIVITY,,
Amalfi,Sorrento Gezisi,HAS_ACTIVITY,,
Amalfi,Sorrento Peninsula Arkeoloji Müzesi,HAS_ACTIVITY,,
Amalfi,Tam Gün Tekne Gezisi,HAS_ACTIVITY,,
Amalfi,Villa Piedimonte,HAS_HOTEL,,
Amboise,Amboise Şatosu,HAS_ACTIVITY,,
Amboise,Avarum Restaurant,HAS_RESTAURANT,,
Amboise,Brugge Gezisi,HAS_ACTIVITY,,
Amboise,Cheverny Şatosu,HAS_ACTIVITY,,
Amboise,Château de Blois,HAS_ACTIVITY,,
Amboise,Château de Chambord,HAS_ACTIVITY,,
Amboise,Château de Chenonceau,HAS_ACTIVITY,,
Amboise,Château du Clos Lucé,HAS_ACTIVITY,,
Amboise,Clos de Lucé,HAS_ACTIVITY,,
Amboise,Gent Gezisi,HAS_ACTIVITY,,
Amboise,Hotel De Orangerie,HAS_HOTEL,,
Amboise,Hotel Dukes' Palace,HAS_HOTEL,,
Amboise,Hotel Heritage Relais Chateau,HAS_HOTEL,,
Amboise,Hotel Van Cleef,HAS_HOTEL,,
Amboise,Loire Vadisi Balon Turu,HAS_ACTIVITY,,
Amboise,Loire Vadisi Şarap Bağları,HAS_ACTIVITY,,
Amboise,Restaurante Amour Blanc,HAS_RESTAURANT,,
Amboise,Tours Şehri Gezisi,HAS_ACTIVITY,,
Amboise,Villandry Şatosu,HAS_ACTIVITY,,
Amman,Amman şehir turu,HAS_ACTIVITY,,
Amman,Dead Sea’de konaklama ve dinlenme,HAS_ACTIVITY,,
Amman,Mount Nebo ve Madaba ziyareti,HAS_ACTIVITY,,
Amman,Petra Antik Kenti gezisi,HAS_ACTIVITY,,
Amman,Wadi Rum çöl safarisi,HAS_ACTIVITY,,
Arjantin Gezisi,Arjantin,HAS_COUNTRY,,
Arjantin Gezisi,Arjantin,HAS_HIGHLIGHT,,
Arjantin Gezisi,Balina,HAS_HIGHLIGHT,,
Arjantin Gezisi,Buenos Aires,HAS_CITY,,
Arjantin Gezisi,Buenos Aires,HAS_HIGHLIGHT,,
Arjantin Gezisi,Doğa,HAS_HIGHLIGHT,,
Arjantin Gezisi,Puerto Madryn,HAS_CITY,,
Arjantin Gezisi,Puerto Madryn,HAS_HIGHLIGHT,,
Arjantin Gezisi,Tango,HAS_HIGHLIGHT,,
Arjantin Gezisi,Ushuaia,HAS_CITY,,
Arjantin Gezisi,Ushuaia,HAS_HIGHLIGHT,,
Arles,Arles Gezisi,HAS_ACTIVITY,,
Arles,Arles Luma Müzesi ziyareti,HAS_ACTIVITY,,
Arles,Arles şehir gezisi,HAS_ACTIVITY,,
Arles,Art Tour,HAS_ACTIVITY,,
Arles,Atelier de Cezanne ziyareti,HAS_ACTIVITY,,
Arles,Avignon Gezisi,HAS_ACTIVITY,,
Arles,Café Tadoa Ando,HAS_RESTAURANT,,
Arles,Carrières de Lumières ziyareti,HAS_ACTIVITY,,
Arles,Chateau Estoublon,HAS_ACTIVITY,,
Arles,Chateau La Coste Art Tour,HAS_ACTIVITY,,
Arles,Chateau d’Estoublon,HAS_RESTAURANT,,
Arles,Château La Coste,HAS_RESTAURANT,,
Arles,Château La Coste sanat ve mimari gezisi,HAS_ACTIVITY,,
Arles,Château La Coste şarap evi ve bahçeleri ziyareti,HAS_ACTIVITY,,
Arles,Fondation Vincent van Gogh Arles ziyareti,HAS_ACTIVITY,,
Arles,Gordes Gezisi,HAS_ACTIVITY,,
Arles,L'Isle-sur-la-Sorgue Gezisi,HAS_ACTIVITY,,
Arles,LUMA Müzesi,HAS_ACTIVITY,,
Arles,La Luma Drum Cafe,HAS_RESTAURANT,,
Arles,La Taula Gallici's Gourmet Restaurant,HAS_RESTAURANT,,
Arles,Les Baux-de-Provence Gezisi,HAS_ACTIVITY,,
Arles,Les Deux Garçons,HAS_RESTAURANT,,
Arles,Les Deux Garçons’da kahve molası,HAS_ACTIVITY,,
Arles,L’Isle-sur-la-Sorgue Gezisi,HAS_ACTIVITY,,
Arles,Mirabeau Caddesi’nde gezinti,HAS_ACTIVITY,,
Arles,Mucem Müzesi ziyareti,HAS_ACTIVITY,,
Arles,Palais des Papes ziyareti,HAS_ACTIVITY,,
Arles,Restaurant L'Oriel,HAS_RESTAURANT,,
Arles,Roussillon Gezisi,HAS_ACTIVITY,,
Arles,Roussillon ve Gordes gezisi,HAS_ACTIVITY,,
Arles,Saint-Paul de Mausole ziyareti,HAS_ACTIVITY,,
Arles,Saint-Rémy-de-Provence Gezisi,HAS_ACTIVITY,,
Arles,Tadao Ando Café Restaurant,HAS_RESTAURANT,,
Arles,Van Gogh Müzesi,HAS_ACTIVITY,,
Arusha,Sabah ve Akşam Safarileri,HAS_ACTIVITY,,
Arusha,Serengeti Ulusal Parkı Safari,HAS_ACTIVITY,,
Arusha,Singita Lodge,HAS_HOTEL,,
Arusha,Singita Sasakawa Lodge,HAS_HOTEL,,
Arusha,Öğle Safarisi,HAS_ACTIVITY,,
Aswan,Büyük Giza Sfenksi,HAS_ACTIVITY,,
Aswan,Edfu Tapınağı,HAS_ACTIVITY,,
Aswan,Giza Piramitleri,HAS_ACTIVITY,,
Aswan,High Dam,HAS_ACTIVITY,,
Aswan,Karnak Tapınağı,HAS_ACTIVITY,,
Aswan,Khan El Khalili Çarşısı,HAS_ACTIVITY,,
Aswan,Kom Ombo Tapınağı,HAS_ACTIVITY,,
Aswan,Luxor East Bank Gezisi,HAS_ACTIVITY,,
Aswan,Luxor Tapınağı,HAS_ACTIVITY,,
Aswan,Marriott Mena House Hotel,HAS_HOTEL,,
Aswan,Movenpick Sunray Nile Cruise,HAS_HOTEL,,
Aswan,Mısır Müzesi,HAS_ACTIVITY,,
Aswan,Nil Nehri Sıcak Hava Balonu,HAS_ACTIVITY,,
Aswan,Philae Tapınağı,HAS_ACTIVITY,,
Auckland,Auckland Şehir Gezisi,HAS_ACTIVITY,,
Auckland,Blue Mountains Gezisi,HAS_ACTIVITY,,
Auckland,Bondi Plajı,HAS_ACTIVITY,,
Auckland,Botanik Bahçeleri - Sydney,HAS_ACTIVITY,,
Auckland,Flinders Chase National Park,HAS_ACTIVITY,,
Auckland,Hyde Park,HAS_ACTIVITY,,
Auckland,Intercontinental Hotel Wellington,HAS_HOTEL,,
Auckland,JW Marriott Gold Coast Resort & Spa,HAS_HOTEL,,
Auckland,JW Marriott Hotel Singapore South Beach,HAS_HOTEL,,
Auckland,Macquarie Caddesi,HAS_ACTIVITY,,
Auckland,Mrs Macquarie’s Chair,HAS_ACTIVITY,,
Auckland,Oxford Caddesi,HAS_ACTIVITY,,
Auckland,Paddington,HAS_ACTIVITY,,
Auckland,Park Hyatt Sydney,HAS_HOTEL,,
Auckland,Peppers Blue Water Resort Lake Tekapo,HAS_HOTEL,,
Auckland,Pullman Rotorua,HAS_HOTEL,,
Auckland,Queenstown Panoramik Gezisi,HAS_ACTIVITY,,
Auckland,Seal Bay Conservation Park,HAS_ACTIVITY,,
Auckland,St. Mary Katedrali,HAS_ACTIVITY,,
Auckland,Sydney Harbour Marriott Hotel at Circular Quay,HAS_HOTEL,,
Auckland,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,HAS_ACTIVITY,,
Auckland,Sydney Köprüsü,HAS_ACTIVITY,,
Auckland,Sydney Opera Binası,HAS_ACTIVITY,,
Auckland,Sydney Opera Binası & Harbour Bridge,HAS_ACTIVITY,,
Auckland,Te Puia Maori Dansı ve Gayzerler,HAS_ACTIVITY,,
Auckland,The Rees Hotel & Luxury Apartments,HAS_HOTEL,,
Auckland,The Rocks,HAS_ACTIVITY,,
Auckland,Weta Workshop,HAS_ACTIVITY,,
Avignon,Arles Luma Müzesi ziyareti,HAS_ACTIVITY,,
Avignon,Art Tour,HAS_ACTIVITY,,
Avignon,Atelier de Cezanne ziyareti,HAS_ACTIVITY,,
Avignon,Avignon Gezisi,HAS_ACTIVITY,,
Avignon,Café Tadoa Ando,HAS_RESTAURANT,,
Avignon,Carrières de Lumières ziyareti,HAS_ACTIVITY,,
Avignon,Chateau Estoublon,HAS_ACTIVITY,,
Avignon,Château La Coste sanat ve mimari gezisi,HAS_ACTIVITY,,
Avignon,Fondation Vincent van Gogh Arles ziyareti,HAS_ACTIVITY,,
Avignon,L'Isle-sur-la-Sorgue Gezisi,HAS_ACTIVITY,,
Avignon,LUMA Müzesi,HAS_ACTIVITY,,
Avignon,La Luma Drum Cafe,HAS_RESTAURANT,,
Avignon,La Taula Gallici's Gourmet Restaurant,HAS_RESTAURANT,,
Avignon,Les Baux-de-Provence Gezisi,HAS_ACTIVITY,,
Avignon,Les Deux Garçons,HAS_RESTAURANT,,
Avignon,Les Deux Garçons’da kahve molası,HAS_ACTIVITY,,
Avignon,Mucem Müzesi ziyareti,HAS_ACTIVITY,,
Avignon,Palais des Papes ziyareti,HAS_ACTIVITY,,
Avignon,Restaurant L'Oriel,HAS_RESTAURANT,,
Avignon,Saint-Paul de Mausole ziyareti,HAS_ACTIVITY,,
Avignon,Van Gogh Müzesi,HAS_ACTIVITY,,
Avustralya Gezisi,Adelaide,HAS_CITY,,
Avustralya Gezisi,Adelaide - Brisbane İç Hat Uçuşu,HAS_TRANSPORT,,
Avustralya Gezisi,Avustralya,HAS_COUNTRY,,
Avustralya Gezisi,Avustralya,HAS_HIGHLIGHT,,
Avustralya Gezisi,Ballarat,HAS_CITY,,
Avustralya Gezisi,Barossa Valley,HAS_CITY,,
Avustralya Gezisi,Brisbane,HAS_CITY,,
Avustralya Gezisi,Canberra,HAS_CITY,,
Avustralya Gezisi,Gold Coast,HAS_HIGHLIGHT,,
Avustralya Gezisi,Hahndorf,HAS_CITY,,
Avustralya Gezisi,Hobart,HAS_CITY,,
Avustralya Gezisi,Hobart - Adelaide İç Hat Uçuşu,HAS_TRANSPORT,,
Avustralya Gezisi,Melbourne,HAS_CITY,,
Avustralya Gezisi,Melbourne,HAS_HIGHLIGHT,,
Avustralya Gezisi,Melbourne - Hobart İç Hat Uçuşu,HAS_TRANSPORT,,
Avustralya Gezisi,Opera House,HAS_HIGHLIGHT,,
Avustralya Gezisi,Surfers Paradise,HAS_CITY,,
Avustralya Gezisi,Sydney,HAS_CITY,,
Avustralya Gezisi,Sydney,HAS_HIGHLIGHT,,
Avustralya Gezisi,Tasmanya,HAS_HIGHLIGHT,,
Avustralya Gezisi,Türk Hava Yolları TK168,HAS_TRANSPORT,,
Avustralya Gezisi,Türk Hava Yolları TK169,HAS_TRANSPORT,,
Avustralya Gezisi,Şarap,HAS_HIGHLIGHT,,
Avustralya – Yeni Zelanda,Auckland,HAS_CITY,,
Avustralya – Yeni Zelanda,Avustralya,HAS_COUNTRY,,
Avustralya – Yeni Zelanda,Avustralya,HAS_HIGHLIGHT,,
Avustralya – Yeni Zelanda,Melbourne,HAS_CITY,,
Avustralya – Yeni Zelanda,Opera Binası,HAS_HIGHLIGHT,,
Avustralya – Yeni Zelanda,Plaj,HAS_HIGHLIGHT,,
Avustralya – Yeni Zelanda,Queenstown,HAS_CITY,,
Avustralya – Yeni Zelanda,Rotorua,HAS_CITY,,
Avustralya – Yeni Zelanda,Sydney,HAS_CITY,,
Avustralya – Yeni Zelanda,Sydney,HAS_HIGHLIGHT,,
Avustralya – Yeni Zelanda,Türk Hava Yolları TK174,HAS_TRANSPORT,,
Avustralya – Yeni Zelanda,Yeni Zelanda,HAS_COUNTRY,,
Avustralya – Yeni Zelanda,Yeni Zelanda,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,Abu Dhabi,HAS_CITY,,
BAE Gezisi - Fuat Pamukçu,Abu Dhabi,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,Abu Dhabi – Ras Al Khaimah transferi,HAS_TRANSPORT,,
BAE Gezisi - Fuat Pamukçu,BAE,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,Birleşik Arap Emirlikleri,HAS_COUNTRY,,
BAE Gezisi - Fuat Pamukçu,Dubai,HAS_CITY,,
BAE Gezisi - Fuat Pamukçu,Dubai,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,Ferrari World,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,Ras Al Khaimah,HAS_CITY,,
BAE Gezisi - Fuat Pamukçu,Ras Al Khaimah,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,Ras Al Khaimah – Dubai transferi,HAS_TRANSPORT,,
BAE Gezisi - Fuat Pamukçu,Yılbaşı,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,Çöl Safarisi,HAS_HIGHLIGHT,,
BAE Gezisi - Fuat Pamukçu,İstanbul – Abu Dhabi uçuşu,HAS_TRANSPORT,,
BAE Gezisi - Fuat Pamukçu,Şehir içi ve otel transferleri,HAS_TRANSPORT,,
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Bali,HAS_CITY,,
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Bangkok,HAS_CITY,,
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Endonezya,HAS_COUNTRY,,
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Tayland,HAS_COUNTRY,,
BALKAN CULTURE TOUR 2025,BULGARIA,HAS_COUNTRY,,
BALKAN CULTURE TOUR 2025,BUS,HAS_TRANSPORT,,
BALKAN CULTURE TOUR 2025,CULTURE,HAS_HIGHLIGHT,,
BALKAN CULTURE TOUR 2025,HISTORY,HAS_HIGHLIGHT,,
BALKAN CULTURE TOUR 2025,LEG1,HAS_CITY,,
BALKAN CULTURE TOUR 2025,LEG2,HAS_CITY,,
BALKAN CULTURE TOUR 2025,NORTH MACEDONIA,HAS_COUNTRY,,
BALKAN CULTURE TOUR 2025,TURKEY,HAS_COUNTRY,,
BALKANS 2025,BULGARIA,HAS_COUNTRY,,
BALKANS 2025,BUS,HAS_TRANSPORT,,
BALKANS 2025,CULTURE,HAS_HIGHLIGHT,,
BALKANS 2025,LEG1,HAS_CITY,,
BALKANS 2025,LEG2,HAS_CITY,,
BALKANS 2025,NORTH MACEDONIA,HAS_COUNTRY,,
BALKANS 2025,TURKEY,HAS_COUNTRY,,
BALKANS LOOP 2025,BULGARIA,HAS_COUNTRY,,
BALKANS LOOP 2025,BUS,HAS_TRANSPORT,,
BALKANS LOOP 2025,CULTURE,HAS_HIGHLIGHT,,
BALKANS LOOP 2025,LEG1,HAS_CITY,,
BALKANS LOOP 2025,LEG2,HAS_CITY,,
BALKANS LOOP 2025,NORTH MACEDONIA,HAS_COUNTRY,,
BALKANS LOOP 2025,TURKEY,HAS_COUNTRY,,
BARCELONA,CASA BATLLO,HAS_ACTIVITY,,
BARCELONA,COLOSSEUM,HAS_ACTIVITY,,
BARCELONA,EIFFEL TOWER,HAS_ACTIVITY,,
BARCELONA,EIXAMPLE HOTEL,HAS_HOTEL,,
BARCELONA,FORUM INN,HAS_HOTEL,,
