id,name,type,date_start,date_end,price_usd,semantic_text
e9d7226d-8100-4246-b53d-d406a2448edb,GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Trip,2026-01-25,2026-01-03,-4200,"Güney Afrika turunda Royal Livingstone Victoria Falls Zambia Hotel by Anantara, Babylonstoren Hotel ve Marataba Safari Lodge otellerinde konaklama olacak. Aktiviteler arasında Mukuni Village gezisi, Sunset Safari Cruise, David Livingstone Müzesi, Franschhoek şarap bağları ve galeriler, Huguenot Anıt Müzesi, Franschhoek Motor Müzesi, Güney Afrika'nın İlk Parfüm Müzesi, Masa Dağı, Kirstenbosch Ulusal Botanik Bahçesi, Boulders Beach penguen kolonisi, Cape Town şehir gezisi, Two Oceans Aquarium, Camps Bay ve Clifton Beach, Zeitz Museum of Contemporary Art Africa, Güney Afrika Ulusal Müzesi, Planetarium ve Cape Town Graffiti Street Art turu yer alıyor. Restoran: The Lookout Cafe."
Livingstone,Livingstone,City,,,,
Zambiya,Zambiya,Country,,,,
Royal Livingstone Victoria Falls Zambia Hotel by Anantara,Royal Livingstone Victoria Falls Zambia Hotel by Anantara,Hotel,,,,
Babylonstoren Hotel,Babylonstoren Hotel,Hotel,,,,
Marataba Safari Lodge,Marataba Safari Lodge,Hotel,,,,
Mukuni Village Gezisi,Mukuni Village Gezisi,Activity,,,,
Sunset Safari Cruise,Sunset Safari Cruise,Activity,,,,
David Livingstone Müzesi,David Livingstone Müzesi,Activity,,,,
Franschhoek Şarap Bağları ve Galeriler,Franschhoek Şarap Bağları ve Galeriler,Activity,,,,
Huguenot Anıt Müzesi,Huguenot Anıt Müzesi,Activity,,,,
Franschhoek Motor Müzesi,Franschhoek Motor Müzesi,Activity,,,,
Güney Afrika'nın İlk Parfüm Müzesi,Güney Afrika'nın İlk Parfüm Müzesi,Activity,,,,
Masa Dağı,Masa Dağı,Activity,,,,
Kirstenbosch Ulusal Botanik Bahçesi,Kirstenbosch Ulusal Botanik Bahçesi,Activity,,,,
Boulders Beach Penguen Kolonisi,Boulders Beach Penguen Kolonisi,Activity,,,,
Cape Town Şehir Gezisi,Cape Town Şehir Gezisi,Activity,,,,
Two Oceans Aquarium,Two Oceans Aquarium,Activity,,,,
Camps Bay ve Clifton Beach,Camps Bay ve Clifton Beach,Activity,,,,
Zeitz Museum of Contemporary Art Africa,Zeitz Museum of Contemporary Art Africa,Activity,,,,
Güney Afrika Ulusal Müzesi (İziko),Güney Afrika Ulusal Müzesi (İziko),Activity,,,,
Planetarium,Planetarium,Activity,,,,
Cape Town Graffiti Street Art Turu,Cape Town Graffiti Street Art Turu,Activity,,,,
The Lookout Cafe,The Lookout Cafe,Restaurant,,,,
1790268b-5a18-43cf-80d2-428e8264b52e,JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Trip,,,1000,"Japonya turunda Mitsui Garden Hotel Premier Jingu-Gaien, Uno Hotel ve ACE Hotel Kyoto’da konaklama olacak. Aktiviteler arasında Meiji Tapınağı, Ota Memorial Museum of Art, Doğu Bahçeler, Shibuya Sky, Miyashita Park, Mori Art Museum, National Art Centre, Museum of Contemporary Art, Chichu Sanat Müzesi, Art House Project, Lee Ufan Müzesi, Benesse House, Teshima Sanat Müzesi ve Les Archives du Coeur bulunuyor."
TOKYO,TOKYO,City,,,,
Okayama,Okayama,City,,,,
KYOTO,KYOTO,City,,,,
Isola di Naoshima,Isola di Naoshima,City,,,,
Teshima,Teshima,City,,,,
Giappone,Giappone,Country,,,,
Mitsui Garden Hotel Premier Jingu-Gaien,Mitsui Garden Hotel Premier Jingu-Gaien,Hotel,,,,
Uno Hotel,Uno Hotel,Hotel,,,,
ACE Hotel Kyoto,ACE Hotel Kyoto,Hotel,,,,
Meiji Tapınağı,Meiji Tapınağı,Activity,,,,
Ota Memorial Museum of Art,Ota Memorial Museum of Art,Activity,,,,
Doğu Bahçeler,Doğu Bahçeler,Activity,,,,
Shibuya Sky,Shibuya Sky,Activity,,,,
Miyashita Park,Miyashita Park,Activity,,,,
Mori Art Museum,Mori Art Museum,Activity,,,,
National Art Centre,National Art Centre,Activity,,,,
Museum of Contemporary Art,Museum of Contemporary Art,Activity,,,,
Chichu Sanat Müzesi,Chichu Sanat Müzesi,Activity,,,,
Art House Project,Art House Project,Activity,,,,
Lee Ufan Müzesi,Lee Ufan Müzesi,Activity,,,,
Benesse House,Benesse House,Activity,,,,
Teshima Sanat Müzesi,Teshima Sanat Müzesi,Activity,,,,
Les Archives du Coeur,Les Archives du Coeur,Activity,,,,
b3ed435d-6086-4392-ac73-d392ef3417fd,LAPLAND TURU 19 – 24 OCAK,Trip,2025-01-19,2025-01-24,1200,"Lapland turunda ICEHOTEL, Kaamos Hotel ve Treehotel’de konaklama olacak. Aktiviteler arasında Gece Safarisi ve Kar Mobili Safarisi yer alıyor."
Jukkasjärvi,Jukkasjärvi,City,,,,
Harads,Harads,City,,,,
Suède,Suède,Country,,,,
ICEHOTEL,ICEHOTEL,Hotel,,,,
Kaamos Hotel,Kaamos Hotel,Hotel,,,,
Treehotel,Treehotel,Hotel,,,,
Gece Safarisi,Gece Safarisi,Activity,,,,
Kar Mobili Safarisi,Kar Mobili Safarisi,Activity,,,,
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,MISIR TURU 20 – 25 NİSAN 2024,Trip,2024-04-20,2024-04-25,1200,"Mısır turunda Marriott Mena House Hotel ve Movenpick Sunray Nile Cruise’ta konaklama olacak. Aktiviteler arasında Giza Piramitleri, Büyük Giza Sfenksi, Mısır Müzesi, Khan El Khalili Çarşısı, High Dam, Philae Tapınağı, Kom Ombo Tapınağı, Edfu Tapınağı, Luxor East Bank Gezisi, Karnak Tapınağı, Luxor Tapınağı ve Nil Nehri’nde sıcak hava balonu uçuşu yer alıyor."
Cairo,Cairo,City,,,,
Assouan,Assouan,City,,,,
Louxor,Louxor,City,,,,
Egitto,Egitto,Country,,,,
Marriott Mena House Hotel,Marriott Mena House Hotel,Hotel,,,,
Movenpick Sunray Nile Cruise,Movenpick Sunray Nile Cruise,Hotel,,,,
Giza Piramitleri,Giza Piramitleri,Activity,,,,
Büyük Giza Sfenksi,Büyük Giza Sfenksi,Activity,,,,
Mısır Müzesi,Mısır Müzesi,Activity,,,,
Khan El Khalili Çarşısı,Khan El Khalili Çarşısı,Activity,,,,
High Dam,High Dam,Activity,,,,
Philae Tapınağı,Philae Tapınağı,Activity,,,,
Kom Ombo Tapınağı,Kom Ombo Tapınağı,Activity,,,,
Edfu Tapınağı,Edfu Tapınağı,Activity,,,,
Luxor East Bank Gezisi,Luxor East Bank Gezisi,Activity,,,,
Karnak Tapınağı,Karnak Tapınağı,Activity,,,,
Luxor Tapınağı,Luxor Tapınağı,Activity,,,,
Nil Nehri Sıcak Hava Balonu,Nil Nehri Sıcak Hava Balonu,Activity,,,,
e66af09a-e47a-4196-986c-171fce711038,AMALFI TURU 20 – 23 HAZİRAN,Trip,2025-06-20,2025-06-23,800,"Amalfi turunda Villa Piedimonte ve Hotel Rufolo otellerinde konaklama olacak. Aktiviteler arasında Ravello (Villa Cimbrone, Villa Rufolo), Pompei Şehri, Napoli Şehri (Duomo di Napoli, Palazzo Reale, Castel dell’Ovo), Amalfi Kasabası (Cattedrale di Sant’Andrea, Piazza Duomo) ve Sorrento gezileri yer alıyor."
Amalfi,Amalfi,City,,,,
Ravello,Ravello,City,,,,
Pompei,Pompei,City,,,,
Naples,Naples,City,,,,
Sorrente,Sorrente,City,,,,
Villa Piedimonte,Villa Piedimonte,Hotel,,,,
Hotel Rufolo,Hotel Rufolo,Hotel,,,,
Ravello - Villa Cimbrone Bahçesi,Ravello - Villa Cimbrone Bahçesi,Activity,,,,
Ravello - Villa Rufolo,Ravello - Villa Rufolo,Activity,,,,
Pompei Şehri Ziyareti,Pompei Şehri Ziyareti,Activity,,,,
Napoli Şehri Gezisi,Napoli Şehri Gezisi,Activity,,,,
Duomo di Napoli,Duomo di Napoli,Activity,,,,
Il Pio Monte della Misericordia,Il Pio Monte della Misericordia,Activity,,,,
Palazzo Reale,Palazzo Reale,Activity,,,,
Castel dell’Ovo,Castel dell’Ovo,Activity,,,,
Amalfi Kasabası Gezisi,Amalfi Kasabası Gezisi,Activity,,,,
Cattedrale di Sant’Andrea,Cattedrale di Sant’Andrea,Activity,,,,
Piazza Duomo,Piazza Duomo,Activity,,,,
Piazza dei Dogi,Piazza dei Dogi,Activity,,,,
Piazza dello Spirito Santo,Piazza dello Spirito Santo,Activity,,,,
Sorrento Gezisi,Sorrento Gezisi,Activity,,,,
Piazza Tasso,Piazza Tasso,Activity,,,,
Basilica di Sant’Antonino,Basilica di Sant’Antonino,Activity,,,,
Sedile Dominova,Sedile Dominova,Activity,,,,
Sorrento Peninsula Arkeoloji Müzesi,Sorrento Peninsula Arkeoloji Müzesi,Activity,,,,
Bottega Della Tarsia Lignea Müzesi,Bottega Della Tarsia Lignea Müzesi,Activity,,,,
c906a5ed-ba0a-46a1-a06c-51e83d28585f,LOIRE TURU 20 – 23 NİSAN,Trip,2025-04-20,2025-04-23,800,"Loire turunda otel ismi belgede belirtilmemiş. Aktiviteler arasında Cheverny, Villandry, Amboise, Clos Lucé, Chenonceau, Blois ve Chambord şatoları ile Loire Vadisi Balon Turu ve Tours Şehri Gezisi bulunuyor. Restoranlar: Avarum Restaurant, Restaurante Amour Blanc."
Loira,Loira,City,,,,
Tours,Tours,City,,,,
Amboise,Amboise,City,,,,
Blois,Blois,City,,,,
Cheverny Şatosu,Cheverny Şatosu,Activity,,,,
Villandry Şatosu,Villandry Şatosu,Activity,,,,
Amboise Şatosu,Amboise Şatosu,Activity,,,,
Château du Clos Lucé,Château du Clos Lucé,Activity,,,,
Château de Chenonceau,Château de Chenonceau,Activity,,,,
Château de Blois,Château de Blois,Activity,,,,
Château de Chambord,Château de Chambord,Activity,,,,
Loire Vadisi Balon Turu,Loire Vadisi Balon Turu,Activity,,,,
Tours Şehri Gezisi,Tours Şehri Gezisi,Activity,,,,
Avarum Restaurant,Avarum Restaurant,Restaurant,,,,
Restaurante Amour Blanc,Restaurante Amour Blanc,Restaurant,,,,
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,BRUGGE & LOIRE TURU 20 – 23 NİSAN,Trip,2025-04-20,2025-04-23,800,"Brugge & Loire turunda Hotel De Orangerie, Hotel Van Cleef, Hotel Heritage Relais Chateau ve Hotel Dukes' Palace otellerinde konaklama olacak. Aktiviteler arasında Brugge ve Gent şehir gezileri, Cheverny, Blois, Amboise, Chenonceau ve Chambord şatoları ile Clos de Lucé ve Loire Vadisi şarap bağları bulunuyor."
Bruges,Bruges,City,,,,
Gent,Gent,City,,,,
Belgio,Belgio,Country,,,,
Hotel De Orangerie,Hotel De Orangerie,Hotel,,,,
Hotel Van Cleef,Hotel Van Cleef,Hotel,,,,
Hotel Heritage Relais Chateau,Hotel Heritage Relais Chateau,Hotel,,,,
Hotel Dukes' Palace,Hotel Dukes' Palace,Hotel,,,,
Brugge Gezisi,Brugge Gezisi,Activity,,,,
Gent Gezisi,Gent Gezisi,Activity,,,,
Clos de Lucé,Clos de Lucé,Activity,,,,
Loire Vadisi Şarap Bağları,Loire Vadisi Şarap Bağları,Activity,,,,
d5afb91a-2d7b-4c04-95f4-2694e20237bc,AMALFI TURU 20 – 24 HAZİRAN,Trip,2025-06-20,2025-06-24,1000,Amalfi turunda otel ismi belgede belirtilmemiş. Programda tam gün tekne gezisi yer alıyor.
Tam Gün Tekne Gezisi,Tam Gün Tekne Gezisi,Activity,,,,
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,SALZBURG TURU 20 – 25 ARALIK,Trip,2025-12-20,2025-12-25,1200,"Salzburg turunda Radisson Blu Hotel Altstadt, Hotel Goldener Hirsch ve Hotel Bristol otellerinde konaklama olacak. Aktiviteler arasında Mirabel Sarayı ve Bahçesi, Mozart’ın Evi, Residenzplatz & DomQuartier, Noel pazarları, Hallstatt gezisi, Salzberg Dağı & Tuz Madeni ziyareti, St Wolfgang atlı kızak turu, Salzburg Kalesi, Kartal Yuvası, Salzbergwerk Berchtesgaden ve Grassl Likör Fabrikası ziyareti bulunuyor. Restoranlar: Cafe Sacher Salzburg, Restaurant Blaue Gans Salzburg Gasthaus."
Salisburgo,Salisburgo,City,,,,
Hallstatt,Hallstatt,City,,,,
St Wolfgang,St Wolfgang,City,,,,
Berchtesgaden,Berchtesgaden,City,,,,
Austria,Austria,Country,,,,
Allemagne,Allemagne,Country,,,,
Radisson Blu Hotel Altstadt,Radisson Blu Hotel Altstadt,Hotel,,,,
Hotel Goldener Hirsch,Hotel Goldener Hirsch,Hotel,,,,
Hotel Bristol,Hotel Bristol,Hotel,,,,
Mirabel Sarayı ve Bahçesi,Mirabel Sarayı ve Bahçesi,Activity,,,,
