id,label,name
68,Country,İtalya
69,City,Venedik
70,Hotel,Hotel Ai Cavalieri
71,Restaurant,Ristorante Da Ivo
72,Restaurant,Ristorante Acqua Pazza
73,Restaurant,Osteria Enoteca San Marco
74,Restaurant,Restaurant Terrazza Danieli
75,Restaurant,Da Giacomo
76,Restaurant,Il Salumaio di Montenapoleone
77,Restaurant,Solferino Restaurant
78,City,Milano
79,Trip,MALDİVLER TURU 08 – 15 OCAK 2024
80,Price,47800 / 47600 / 34900 USD (oda tipine göre)
81,Country,Maldivler
82,City,Maldivler
83,Hotel,Beach Villa with Pool
84,Hotel,Water Villa with Pool
85,Hotel,Water Villa One Bedroom
86,Trip,TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024
87,Country,Tanzanya
88,City,Arusha
89,Hotel,Singita Lodge
90,Hotel,Singita Sasakawa Lodge
91,Activity,Serengeti Ulusal Parkı Safari
92,Activity,Öğle Safarisi
93,Activity,Sabah ve Akşam Safarileri
94,City,Serengeti
95,City,Zanzibar
96,Trip,BARCELONA TURU 09 – 11 KASIM
97,Country,İspanya
98,City,Barcelona
99,Restaurant,La Pepita Tapas Bar
100,Restaurant,Gala Restoran
101,Restaurant,Barceloneta Restoran
102,Activity,Park Güell
103,Activity,La Sagrada Familia
104,Activity,Casa Milà
105,Activity,Plaza Catalunya
106,Activity,Gotik Mahallesi
107,Trip,BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL
108,City,Bilbao
109,Hotel,Hotel Maria Cristina
110,Restaurant,Restaurante Ilura
111,Restaurant,Elkano Restaurant
112,Restaurant,Cafe Iruña
113,Activity,Biarritz Gezisi
114,Activity,Saint Jean De Luz Gezisi
115,Activity,San Sebastian Şehir Gezisi
116,Activity,Guggenheim Müzesi Gezisi
117,City,San Sebastian
118,City,Biarritz
119,City,Saint Jean De Luz
120,Country,Fransa
121,Trip,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK
122,Country,Avustralya
123,City,Singapore
124,Hotel,JW Marriott Hotel Singapore South Beach
125,Hotel,Pullman Rotorua
126,Hotel,Intercontinental Hotel Wellington
127,Hotel,Peppers Blue Water Resort Lake Tekapo
128,Hotel,The Rees Hotel & Luxury Apartments
129,Hotel,JW Marriott Gold Coast Resort & Spa
130,Hotel,Sydney Harbour Marriott Hotel at Circular Quay
131,Activity,Auckland Şehir Gezisi
132,Activity,Te Puia Maori Dansı ve Gayzerler
133,Activity,Weta Workshop
134,Activity,Queenstown Panoramik Gezisi
135,Activity,Seal Bay Conservation Park
136,Activity,Flinders Chase National Park
137,Activity,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi
138,Activity,Blue Mountains Gezisi
139,Activity,Sydney Opera Binası & Harbour Bridge
140,City,Auckland
141,City,Rotorua
142,City,Wellington
143,City,Tekapo
144,City,Queenstown
145,City,Gold Coast
146,City,Sydney
147,Country,Yeni Zelanda
148,Country,Singapur
149,Trip,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS
150,Country,Endonezya
151,City,Bali
152,Hotel,Capella Bangkok Hotel
153,Hotel,Riverside Pool Villa
154,Restaurant,Koral Restaurant
155,Restaurant,Restaurant POTONG
156,Activity,Volcanoes & Temples Turu (Helikopter)
157,City,Bangkok
158,Country,Tayland
159,Trip,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025
160,Country,Danimarka
161,City,Kopenhag
162,Hotel,Nimb Hotel
163,Hotel,Bergen Børs Hotel
164,Hotel,Fretheim Hotel
165,Restaurant,Fjellskål Seafood Restaurant
166,Restaurant,Restaurant Arven
167,Restaurant,Lofoten Fiskerestaurant
168,Restaurant,Bryggen Tracteursted
169,Restaurant,Izakaya Bar & Terrace
170,Activity,Designmuseum Danmark
171,Activity,Bergen Market Square & Balık Pazarı
172,Activity,Flåm Railway Museum
173,Activity,Vigeland Heykel Parkı
174,Activity,Oslo Opera Binası
175,Activity,Ulusal Müze
176,Activity,Munch Müzesi
177,Activity,Astrup Fearnley Museum of Modern Art
178,City,Bergen
179,City,Flåm
180,City,Oslo
181,Country,Norveç
182,Trip,GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026
183,Hotel,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
184,Hotel,Babylonstoren Hotel
185,Hotel,Marataba Safari Lodge
186,Restaurant,The Lookout Cafe
187,Activity,Mukuni Village Gezisi
188,Activity,Sunset Safari Cruise
189,Activity,David Livingstone Müzesi
190,Activity,Franschhoek Şarap Bağları ve Galeriler
191,Activity,Huguenot Anıt Müzesi
192,Activity,Franschhoek Motor Müzesi
193,Activity,Güney Afrika'nın İlk Parfüm Müzesi
194,Activity,Masa Dağı
195,Activity,Kirstenbosch Ulusal Botanik Bahçesi
196,Activity,Boulders Beach Penguen Kolonisi
197,Activity,Cape Town Şehir Gezisi
198,Activity,Two Oceans Aquarium
199,Activity,Camps Bay ve Clifton Beach
200,Activity,Zeitz Museum of Contemporary Art Africa
201,Activity,Güney Afrika Ulusal Müzesi (İziko)
202,Activity,Planetarium
203,Activity,Cape Town Graffiti Street Art Turu
204,City,Livingstone
205,Country,Zambiya
206,Trip,JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025
207,Country,Japonya
208,City,Tokyo
209,Hotel,Mitsui Garden Hotel Premier Jingu-Gaien
210,Hotel,Uno Hotel
211,Hotel,ACE Hotel Kyoto
212,Activity,Meiji Tapınağı
213,Activity,Ota Memorial Museum of Art
214,Activity,Doğu Bahçeler
215,Activity,Shibuya Sky
216,Activity,Miyashita Park
217,Activity,Mori Art Museum
218,Activity,National Art Centre
219,Activity,Museum of Contemporary Art
220,Activity,Chichu Sanat Müzesi
221,Activity,Art House Project
222,Activity,Lee Ufan Müzesi
223,Activity,Benesse House
224,Activity,Teshima Sanat Müzesi
225,Activity,Les Archives du Coeur
226,City,Okayama
227,City,Kyoto
228,City,Naoshima
229,City,Teshima
230,Trip,LAPLAND TURU 19 – 24 OCAK
231,Country,İsveç
232,City,Jukkasjärvi
233,Hotel,ICEHOTEL
234,Hotel,Kaamos Hotel
235,Hotel,Treehotel
236,Activity,Gece Safarisi
237,Activity,Kar Mobili Safarisi
238,City,Harads
239,Trip,MISIR TURU 20 – 25 NİSAN 2024
240,Country,Mısır
241,City,Kahire
242,Hotel,Marriott Mena House Hotel
243,Hotel,Movenpick Sunray Nile Cruise
244,Activity,Giza Piramitleri
245,Activity,Büyük Giza Sfenksi
246,Activity,Mısır Müzesi
247,Activity,Khan El Khalili Çarşısı
248,Activity,High Dam
249,Activity,Philae Tapınağı
250,Activity,Kom Ombo Tapınağı
251,Activity,Edfu Tapınağı
252,Activity,Luxor East Bank Gezisi
253,Activity,Karnak Tapınağı
254,Activity,Luxor Tapınağı
255,Activity,Nil Nehri Sıcak Hava Balonu
256,City,Aswan
257,City,Luxor
258,Trip,AMALFI TURU 20 – 23 HAZİRAN
259,City,Amalfi
260,Hotel,Villa Piedimonte
261,Hotel,Hotel Rufolo
262,Activity,Ravello - Villa Cimbrone Bahçesi
263,Activity,Ravello - Villa Rufolo
264,Activity,Pompei Şehri Ziyareti
265,Activity,Napoli Şehri Gezisi
266,Activity,Duomo di Napoli
267,Activity,Il Pio Monte della Misericordia
268,Activity,Palazzo Reale
269,Activity,Castel dell’Ovo
270,Activity,Amalfi Kasabası Gezisi
271,Activity,Cattedrale di Sant’Andrea
272,Activity,Piazza Duomo
273,Activity,Piazza dei Dogi
274,Activity,Piazza dello Spirito Santo
275,Activity,Sorrento Gezisi
276,Activity,Piazza Tasso
277,Activity,Basilica di Sant’Antonino
278,Activity,Sedile Dominova
279,Activity,Sorrento Peninsula Arkeoloji Müzesi
280,Activity,Bottega Della Tarsia Lignea Müzesi
281,City,Ravello
282,City,Pompei
283,City,Napoli
284,City,Sorrento
285,Trip,LOIRE TURU 20 – 23 NİSAN
286,City,Loire
287,Restaurant,Avarum Restaurant
288,Restaurant,Restaurante Amour Blanc
289,Activity,Cheverny Şatosu
290,Activity,Villandry Şatosu
291,Activity,Amboise Şatosu
292,Activity,Château du Clos Lucé
293,Activity,Château de Chenonceau
294,Activity,Château de Blois
295,Activity,Château de Chambord
296,Activity,Loire Vadisi Balon Turu
297,Activity,Tours Şehri Gezisi
298,City,Tours
299,City,Amboise
300,City,Blois
301,Trip,BRUGGE & LOIRE TURU 20 – 23 NİSAN
302,Country,Belçika
303,City,Brugge
304,Hotel,Hotel De Orangerie
305,Hotel,Hotel Van Cleef
306,Hotel,Hotel Heritage Relais Chateau
307,Hotel,Hotel Dukes' Palace
308,Activity,Brugge Gezisi
309,Activity,Gent Gezisi
310,Activity,Clos de Lucé
311,Activity,Loire Vadisi Şarap Bağları
312,City,Gent
313,Trip,AMALFI TURU 20 – 24 HAZİRAN
314,Activity,Tam Gün Tekne Gezisi
315,Trip,SALZBURG TURU 20 – 25 ARALIK
316,Country,Avusturya
317,City,Salzburg
318,Hotel,Radisson Blu Hotel Altstadt
319,Hotel,Hotel Goldener Hirsch
320,Hotel,Hotel Bristol
321,Restaurant,Cafe Sacher Salzburg
322,Restaurant,Restaurant Blaue Gans Salzburg Gasthaus
323,Activity,Mirabel Sarayı ve Bahçesi
324,Activity,Mozart’ın Evi
325,Activity,Residenzplatz & DomQuartier
326,Activity,Noel Pazarları
327,Activity,Hallstatt Gezisi
328,Activity,Salzberg Dağı & Tuz Madeni Ziyareti
329,Activity,Atlı Kızak Turu (St Wolfgang)
330,Activity,Salzburg Kalesi
331,Activity,Adolf Hitler’in Kartal Yuvası
332,Activity,Salzbergwerk Berchtesgaden
333,Activity,Grassl Likör Fabrikası
334,City,Hallstatt
335,City,St Wolfgang
336,City,Berchtesgaden
337,Country,Almanya
338,Trip,BELGRAD TURU 21 – 23 EYLÜL
339,Country,Sırbistan
340,City,Belgrad
341,Hotel,Metropol Palace Hotel
342,Hotel,Square Nine Hotel
343,Restaurant,Kalemegdan Restaurant
344,Activity,Belgrad Şehir Gezisi
345,Activity,Aziz Sava Kilisesi
346,Activity,Kalemegdan
347,Activity,Sokullu Mehmet Paşa Çeşmesi
348,Activity,Damat Ali Paşa Türbesi
349,Activity,Fikirbayır
350,Activity,Stambol Kapısı
351,Activity,Tuna & Sava Nehirlerinin Birleşim Noktası
352,Activity,Museum of Yugoslav History
353,Activity,Royal Compound
354,Activity,Nikola Tesla Müzesi
355,Activity,Karlofca Gezisi
356,Activity,Novi Sad Gezisi
357,Activity,Tuna Nehri Tekne Gezisi
358,City,Karlofca
359,City,Novi Sad
360,Trip,İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023
361,Country,Türkiye
362,City,İstanbul
363,Restaurant,Il Cortile Ristorante Pizzeria
364,Restaurant,Pandeli Restaurant
365,Restaurant,Belisirma Nehir Kenarı Restoran
366,Restaurant,Geleneksel Türk Restoranı (Efes)
367,Activity,Topkapı Sarayı
368,Activity,Ayasofya
369,Activity,Yerebatan Sarnıcı
370,Activity,Boğaz Turu
371,Activity,Karaköy
372,Activity,Balon Turu
373,Activity,Soğanlı Vadisi
374,Activity,Keşlik Manastırı
375,Activity,Taşkınpaşa Medresesi
376,Activity,Selime Köyü
377,Activity,Agzikarahan Kervansarayı
378,Activity,Ihlara Vadisi
379,Activity,Göreme Açık Hava Müzesi
380,Activity,Uçhisar
381,Activity,Kaymaklı Yeraltı Şehri
382,Activity,Kızıl Vadi
383,Activity,Efes Antik Kenti
384,Activity,Hadrian Tapınağı
385,Activity,Odeon
386,Activity,Traian Çeşmesi
387,Activity,Şirince Köyü
388,City,Kapadokya
389,City,Kuşadası
390,City,İzmir
391,City,Şirince
392,City,Efes
393,Trip,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS
394,Country,İskoçya
395,City,Edinburgh
396,Hotel,Fonab Castle Hotel
397,Hotel,The Craigellachie Hotel
398,Hotel,Nevis Bank Inn
399,Hotel,Seasgair Hotel
400,Restaurant,Nevis Bank Inn and Browns Restaurant
401,Restaurant,Rocpool Restaurant
402,Activity,Blair Castle
403,Activity,Ballindalloch Castle & Gardens
404,Activity,Camera Obscura & World of Illusions
405,Activity,Loch Ness
406,Activity,Inverness Kalesi
407,Activity,St. Andrews Katedrali
408,Activity,Inverness Müzesi ve Sanat Galerisi
409,Activity,Strathisla Distillery
410,City,Pitlochry
411,City,Fort William
412,City,Inverness
413,Trip,TAYLAND TURU 5 – 18 ŞUBAT
414,Hotel,The Surin
415,Restaurant,Beach Restaurant (The Surin)
416,Restaurant,Potong Restaurant
417,Restaurant,Clara Restaurant
418,Restaurant,Kalido
419,Restaurant,Carpe Diem Beach Club
420,Restaurant,Terrace Rim Naam
421,Activity,Tapınaklar ve Şehir Gezisi
422,Activity,Bo Sang Köyü
423,Activity,Wat Chedi Luangis
424,Activity,Wat Suan Dok Tapınağı
425,Activity,Wat Phra That Doi Suthep
426,Activity,Wat Rong Khun
427,Activity,Chiang Rai Gezisi
428,Activity,Golden Triangle Gezisi
429,Activity,Mekong Nehri Tekne Gezisi
430,Activity,Bangkok Şehir Gezisi
431,Activity,Büyük Saray
432,Activity,Wat Phra Kaew
433,Activity,Wat Pho Tapınağı
434,Activity,Wat Ratchabophit
435,Activity,Bangkok Kanalları Gezisi
436,Activity,Chatuchak Weekend Market
437,City,Chiang Mai
438,City,Chiang Rai
439,Trip,JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE)
440,Hotel,Mitsui Garden Hotel
441,Hotel,Benesse House
442,Activity,Shinjuku Gyoen Park
443,Activity,Senso-ji Tapınağı
444,Activity,Nakamise Alışveriş Caddesi
445,Activity,Meiji Shrine
446,Activity,Takeshita Street
447,Activity,Omotesando
448,Activity,TeamLab Planets
449,Activity,Ginza
450,Activity,Hakone Açık Hava Müzesi
451,Activity,Picasso Pavilion
452,Activity,Hakone Teleferiği
453,Activity,Owakudani Vadisi
454,Activity,Ashinoko Tekne Gezisi
455,Activity,Kiyomizu Tapınağı
456,Activity,Kinkaku-ji
457,Activity,Geisha & Maiko Gösterisi
458,Activity,Nara Park
459,Activity,Kasuga Taisha
460,Activity,Tenryu-ji Tapınağı
461,Activity,Monkey Park Iwatayama
462,Activity,Teshima Yokoo Evi
463,City,Hakone
464,City,Nara
465,Trip,ARLES TURU 03 – 06 EKİM
466,City,Arles
467,Restaurant,Restaurant L'Oriel
468,Restaurant,Café Tadoa Ando
469,Restaurant,La Taula Gallici's Gourmet Restaurant
470,Activity,LUMA Müzesi
471,Activity,Van Gogh Müzesi
472,Activity,Art Tour
473,Activity,Avignon Gezisi
474,Activity,Chateau Estoublon
475,Activity,Les Baux-de-Provence Gezisi
476,Activity,L'Isle-sur-la-Sorgue Gezisi
477,City,Avignon
478,City,Les Baux-de-Provence
479,City,L'Isle-sur-la-Sorgue
480,Trip,PUGLIA TURU 07 – 11 EKİM
481,City,Bari
482,Hotel,Canne Bianche Lifestyle & Hotel
483,Activity,Alberobello Trulli Evleri
484,Activity,Matera Gezisi
485,Activity,Monopoli Gezisi
486,Activity,Polignano a Mare Gezisi
487,Activity,Lecce Şehir Gezisi
488,Activity,Santa Croce Bazilikası
489,Activity,San Giuseppe Kilisesi
490,Activity,Palazzo dei Celestini
491,Activity,Sant'Oronzo Meydanı
492,Activity,Antik Roma Amfitiyatrosu
493,Activity,Bari Şehir Gezisi
494,Activity,Saint Nicholas Bazilikası
495,Activity,San Sabino Katedrali
496,Activity,Hohenstaufen Kalesi
497,Activity,Old Town
498,Activity,Strada delle Orecchiette
499,City,Alberobello
500,City,Matera
501,City,Monopoli
502,City,Polignano a Mare
503,City,Lecce
504,Trip,PROVENCE TURU 4 – 7 MAYIS
505,City,Provence
506,Restaurant,Tadao Ando Café Restaurant
507,Restaurant,Chateau d’Estoublon
508,Activity,Chateau La Coste Art Tour
509,Activity,L’Isle-sur-la-Sorgue Gezisi
510,Activity,Roussillon Gezisi
511,Activity,Gordes Gezisi
512,Activity,Saint-Rémy-de-Provence Gezisi
513,Activity,Arles Gezisi
514,City,L’Isle-sur-la-Sorgue
515,City,Roussillon
516,City,Gordes
517,City,Saint-Rémy-de-Provence
518,Trip,59. Venedik Bienali
519,DateStart,23 Eylül 2022
520,DateEnd,25 Eylül 2022
521,Highlight,Bienal
522,Highlight,Sanat
523,Highlight,Venedik
524,Highlight,İtalya
525,Restaurant,Trattoria Alla Madonna
526,Activity,Peggy Guggenheim Müzesi
527,Activity,Galleria dell’Accademia
528,Activity,Palazzo Manfrin
529,Activity,Giardini Bienali
530,Trip,Dubai Programı
531,DateStart,26 Nisan 2025
532,DateEnd,30 Nisan 2025
533,Highlight,Dubai
534,Highlight,BAE
535,Highlight,Müze
536,Highlight,Alışveriş
537,Highlight,Modern Mimari
538,Country,Birleşik Arap Emirlikleri
539,City,Dubai
540,Hotel,Atlantis The Royal
541,Restaurant,Nobu Restaurant - Atlantis the Palm
542,Activity,Dubai Creek – Old Town
543,Activity,Museum of the Future
544,Activity,Dubai Mall
545,Trip,İzmir’in En Güzel Köyleri - Şirince & Urla
546,DateStart,26 Mart 2022
547,DateEnd,30 Mart 2022
548,Highlight,Şirince
549,Highlight,Urla
550,Highlight,İzmir
551,Highlight,Türkiye
552,Highlight,Köy Gezisi
553,Highlight,Şarap
554,Hotel,Güllü Konak
555,Restaurant,Artemis Restaurant ve Şarapevi
556,Restaurant,Yengeç Restoran - Urla İskele
557,Activity,Şirince Çarşısı
558,Activity,Aziz John Baptist Kilisesi
559,Activity,Hodri Meydan Kulesi
560,Activity,Şarap Mahzenleri
561,Activity,Nesin Matematik Köyü
562,Activity,Key Museum
563,Activity,Urla Sanat Sokağı
564,Activity,Necati Cumali Anı Evi
565,Activity,Yorgo Seferis’in doğduğu ev
566,Activity,Tanju Okan Parkı
567,Activity,Malgaca Pazarı
568,City,Urla
569,Trip,Toskana Gezisi
570,DateStart,27 Mart 2025
571,DateEnd,02 Nisan 2025
572,Highlight,Toskana
573,Highlight,Floransa
574,Highlight,Katedral
575,Highlight,Siena
576,Highlight,San Gimignano
577,City,Bologna
578,Hotel,Hotel Cerretani Firenze – Mgallery
579,Restaurant,Buca Mario
580,Restaurant,Osteria delle Tre Panche
581,Restaurant,Ristorante Storico Sabatini
582,Restaurant,Buca Lapi
583,Restaurant,Antico Ristorante Paoli 1827
584,Activity,Santa Maria del Fiore Katedrali
585,Activity,Vaftizhane (Battistero di San Giovanni)
586,Activity,Piazza della Signoria
587,Activity,Palazzo Vecchio
588,Activity,Uffizi Galerisi
589,Activity,Antinori nel Chianti Classico Şaraphanesi
590,Activity,San Gimignano UNESCO Dünya Mirası
591,Activity,Siena Şehir Merkezi
592,Activity,Cortona Tarihi Sokaklar
593,Activity,Orvieto Katedrali
594,Activity,Orvieto Yer Altı Tünelleri
595,City,Floransa
596,City,Chianti
597,City,San Gimignano
598,City,Siena
599,City,Cortona
600,City,Orvieto
601,City,Roma
602,Trip,Avustralya – Yeni Zelanda
603,DateEnd,07 Nisan 2025
604,Highlight,Sydney
605,Highlight,Avustralya
606,Highlight,Yeni Zelanda
607,Highlight,Opera Binası
608,Highlight,Plaj
609,Hotel,Park Hyatt Sydney
610,Activity,The Rocks
611,Activity,Botanik Bahçeleri - Sydney
612,Activity,Macquarie Caddesi
613,Activity,Hyde Park
614,Activity,St. Mary Katedrali
615,Activity,Mrs Macquarie’s Chair
616,Activity,Sydney Opera Binası
617,Activity,Sydney Köprüsü
618,Activity,Bondi Plajı
619,Activity,Oxford Caddesi
620,Activity,Paddington
621,City,Melbourne
622,Trip,Hindistan Gezisi
623,DateStart,27 Şubat 2024
624,DateEnd,07 Mart 2024
625,Highlight,Hindistan
626,Highlight,Varanasi
627,Highlight,Jaipur
628,Highlight,Udaipur
629,Highlight,Delhi
630,Highlight,Tapınak
631,Highlight,Saray
632,Highlight,Kale
633,Country,Hindistan
634,City,Varanasi
635,Hotel,Brijrama Palace
636,Hotel,Rambagh Palace
637,Hotel,Taj Lake Palace
638,Restaurant,Udayan Terrace
639,Restaurant,Neelkamal Restaurant
640,Restaurant,Spice Route
641,Restaurant,Bukhara - ITC Maurya Hotel
642,Restaurant,City Palace Özel Akşam Yemeği
643,Restaurant,Mewar Terrace
644,Activity,Ganj Nehri Aarti Töreni
645,Activity,Kashi Vishwanath Tapınağı
646,Activity,Sarnath
647,Activity,Amber Fort
648,Activity,City Palace - Jaipur
649,Activity,Hawa Mahal
650,Activity,Jantar Mantar
651,Activity,City Palace - Udaipur
652,Activity,Crystal Gallery
653,Activity,Pichola Gölü
654,Activity,Muson Sarayı
655,Activity,Humayun’un Mezarı
656,Activity,Cumhurbaşkanlığı Sarayı
657,Activity,Hindistan Kapısı
658,Activity,Jama Mescidi
659,Activity,Chandni Chowk
660,Activity,Laxmi Narayan Tapınağı
661,City,Jaipur
662,City,Udaipur
663,City,Delhi
664,Trip,Meksika Gezisi
665,DateStart,28 Mart 2025
666,DateEnd,03 Nisan 2025
667,Highlight,Meksika
668,Highlight,Mexico City
669,Highlight,Mérida
670,Highlight,Chichen Itza
671,Highlight,Cancún
672,Highlight,Aztek
673,Highlight,Maya
674,Highlight,Kolonyal Mimari
675,Country,Meksika
676,City,Mexico City
677,Hotel,The St. Regis Mexico City
678,Restaurant,Göl kenarında özel yemek
679,Restaurant,Woodend Restaurant
680,Restaurant,Ixi’im
681,Restaurant,Ki’ol
682,Activity,Centro Histórico
683,Activity,Zócalo Meydanı
684,Activity,Templo Mayor
685,Activity,Palacio de Bellas Artes
686,Activity,Plaza Manuel Tolsá
687,Activity,Antropoloji Müzesi
688,Activity,Coyoacán & Frida Kahlo Müzesi
689,Activity,Polanco
690,Activity,Chichen Itza
691,Activity,Kukulkan Piramidi
692,Activity,Plaza Grande
693,Activity,San Ildefonso Katedrali
694,Activity,Parque de Santa Lucía
695,Activity,Iglesia de Santa Lucía
696,Activity,Tekila & Mezcal Tadımı
697,City,Mérida
698,City,Chichen Itza
699,City,Cancún
700,Trip,Sicilya Gezisi
701,DateStart,28 Nisan 2025
702,DateEnd,03 Mayıs 2025
703,Highlight,Sicilya
704,Highlight,Taormina
705,Highlight,Etna
706,Highlight,Ortigia
707,Highlight,Ragusa
708,Highlight,Palermo
709,Highlight,Barok Mimari
710,City,Katanya
711,Hotel,Hotel Metropole Taormina
712,Restaurant,Osteria Rosso Divino
713,Restaurant,Doba Restaurant and Terrace
714,Activity,Corso Umberto
715,Activity,Piazza IX Aprile
716,Activity,Porta Messina
717,Activity,Porta Catania
718,Activity,Teatro Greco
719,Activity,Villa Comunale Bahçeleri
720,Activity,Bar Vitelli
721,Activity,Godfather Film Kilisesi - Savoca
722,Activity,Forza d’Agrò Ortaçağ Köyü
723,Activity,Piazza del Municipio - Forza d’Agrò
724,Activity,Etna Yanardağı
725,Activity,Ortigia Adası
726,Activity,Ortigia Meydanı
727,Activity,Syracuse Katedrali
728,Activity,Arethusa Çeşmesi
729,Activity,Ragusa Ibla
730,Activity,Cattedrale di San Giovanni Battista
731,Activity,Chiesa di Santa Maria delle Scale
732,Activity,Palazzo della Cancelleria
733,Activity,Chiesa Anime Sante del Purgatorio
734,Activity,Duomo di San Giorgio
735,Activity,Giardini Iblei
736,Activity,Santa Maria dello Spasimo Kilisesi
737,City,Taormina
738,City,Savoca
739,City,Forza d’Agrò
740,City,Syracuse
741,City,Ragusa
742,City,Palermo
743,Trip,Porto Gezisi
744,DateStart,28 Nisan 2023
745,DateEnd,01 Mayıs 2023
746,Highlight,Porto
747,Highlight,Portekiz
748,Highlight,Douro Nehri
749,Highlight,Katedraller
750,Country,Portekiz
751,City,Porto
752,Hotel,Maison Albar Hotels Le Monumental Palace
753,Restaurant,Enoteca 1756 Restaurant
754,Restaurant,Marisqueira A Antiga
755,Restaurant,Casa de Chá de Boa Nova
756,Restaurant,Vinum Restaurant & Wine Bar
757,Activity,Tuktuk Gezisi & Rehberli Yürüyüş Turu
758,Activity,Boavista
759,Activity,Foz do Douro
760,Activity,São Francisco Kilisesi
761,Activity,Palácio da Bolsa
762,Activity,São Bento Tren İstasyonu
763,Activity,Porto Katedrali
764,Activity,Liberdade Meydanı
765,Activity,Batalha Meydanı
766,Activity,Ribeira Bölgesi
767,Activity,Torre dos Clérigos
768,Activity,Santa Catarina Caddesi
769,Activity,Lello Kütüphanesi
770,Activity,Serralves Müzesi
771,Activity,Six Bridges Tekne Turu
772,Activity,Gaia Şarap Evleri
773,Activity,Churchill Graham Şaraphanesi
774,Trip,Kahire Gezisi
775,DateEnd,31 Mart 2025
776,Highlight,Mısır
777,Highlight,Kahire
778,Highlight,Piramitler
779,Highlight,Sfenks
780,Highlight,Müzeler
781,Highlight,Çarşı
782,Hotel,Four Seasons Hotel Cairo at Nile Plaza
783,Restaurant,Riviera - Four Seasons Hotel Cairo at Nile Plaza
784,Activity,Sfenks
785,Activity,Khufu Piramidi
786,Activity,Deve Gezisi - Piramitler
787,Activity,Büyük Mısır Müzesi
788,Activity,Sultan Hassan Camii
789,Activity,El Refaei Camii
790,Activity,Mısır Müzesi - Eski Müze
791,Activity,Nil Nehri Felucca Tekne Gezisi
792,Trip,Endülüs Gezisi
793,DateStart,29 Ekim 2025
794,DateEnd,02 Kasım 2025
795,Highlight,Endülüs
796,Highlight,İspanya
797,Highlight,Granada
798,Highlight,Sevilla
799,Highlight,Córdoba
800,Highlight,Ronda
801,Highlight,Elhamra
802,Highlight,Mezquita
803,City,Granada
804,Activity,Elhamra Sarayı
