start,type,end
İzlanda,HAS_ACTIVITY,Blue Lagoon
İzlanda,HAS_ACTIVITY,Kerid Crater Lake
İzlanda,HAS_ACTIVITY,Skaftafell National Park
İzlanda,HAS_ACTIVITY,Ice Cave
İzlanda,HAS_ACTIVITY,Svartifoss Şelalesi
İzlanda,HAS_ACTIVITY,Fjallsárlón Glacier Lagoon
İzlanda,HAS_ACTIVITY,Jökulsárlón Glacier Lagoon
İzlanda,HAS_ACTIVITY,Goðafoss Şelalesi
İzlanda,HAS_HOTEL,Hali Country Hotel
İzlanda,HAS_HOTEL,Fosshotel Glacier Lagoon
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_COUNTRY,Güney Afrika
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Cape Town
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Stellenbosch
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Franschhoek
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Kimberley
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_DATE_START,2025-12-07
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_DATE_END,2025-12-16
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_SEASON,Kış
Cape Town,HAS_ACTIVITY,Cape Town & Masa Dağı Gezisi
UNKNOWN,HAS_ACTIVITY,Zeitz Çağdaş Sanatlar Müzesi
UNKNOWN,HAS_ACTIVITY,Cape Point & Ümit Burnu
UNKNOWN,HAS_ACTIVITY,Boulders Penguen Kolonisi
Stellenbosch,HAS_ACTIVITY,Stellenbosch Şarap Evleri
Franschhoek,HAS_ACTIVITY,Franschhoek Şarap Bağları
UNKNOWN,HAS_ACTIVITY,La Motte Şarap Tadımı
UNKNOWN,HAS_ACTIVITY,Matjiesfontein Köyü
Kimberley,HAS_ACTIVITY,Kimberley Diamond Mine & Big Hole
UNKNOWN,HAS_ACTIVITY,Sabah Safari
Dubai,HAS_ACTIVITY,Akşam Safari
Cape Town,HAS_HOTEL,Babel Hotel
VENEDİK & MİLANO TURU 08 – 12,HAS_COUNTRY,İtalya
VENEDİK & MİLANO TURU 08 – 12,HAS_CITY,Venedik
VENEDİK & MİLANO TURU 08 – 12,HAS_CITY,Milano
Venedik,HAS_HOTEL,Hotel Ai Cavalieri
Venedik,HAS_RESTAURANT,Ristorante Da Ivo
Venedik,HAS_RESTAURANT,Ristorante Acqua Pazza
Venedik,HAS_RESTAURANT,Osteria Enoteca San Marco
Venedik,HAS_RESTAURANT,Restaurant Terrazza Danieli
Venedik,HAS_RESTAURANT,Da Giacomo
Venedik,HAS_RESTAURANT,Il Salumaio di Montenapoleone
Venedik,HAS_RESTAURANT,Solferino Restaurant
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_COUNTRY,Maldivler
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_CITY,Maldivler
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_DATE_START,2024-01-08
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_DATE_END,2024-01-15
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_SEASON,Kış
Maldivler,HAS_HOTEL,Beach Villa with Pool
Maldivler,HAS_HOTEL,Water Villa with Pool
Maldivler,HAS_HOTEL,Water Villa One Bedroom
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_COUNTRY,Tanzanya
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_CITY,Arusha
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_CITY,Serengeti
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_CITY,Zanzibar
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_DATE_START,2024-01-08
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_DATE_END,2024-01-17
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_SEASON,Kış
Serengeti,HAS_ACTIVITY,Serengeti Ulusal Parkı Safari
UNKNOWN,HAS_ACTIVITY,Öğle Safarisi
UNKNOWN,HAS_ACTIVITY,Sabah ve Akşam Safarileri
Arusha,HAS_HOTEL,Singita Lodge
Arusha,HAS_HOTEL,Singita Sasakawa Lodge
BARCELONA TURU 09 – 11 KASIM,HAS_COUNTRY,İspanya
BARCELONA TURU 09 – 11 KASIM,HAS_CITY,Barcelona
BARCELONA TURU 09 – 11 KASIM,HAS_DATE_START,2025-11-09
BARCELONA TURU 09 – 11 KASIM,HAS_DATE_END,2025-11-11
BARCELONA TURU 09 – 11 KASIM,HAS_SEASON,Sonbahar
UNKNOWN,HAS_ACTIVITY,Park Güell
Barcelona,HAS_ACTIVITY,La Sagrada Familia
Barcelona,HAS_ACTIVITY,Casa Milà
UNKNOWN,HAS_ACTIVITY,Plaza Catalunya
UNKNOWN,HAS_ACTIVITY,Gotik Mahallesi
Barcelona,HAS_RESTAURANT,La Pepita Tapas Bar
Barcelona,HAS_RESTAURANT,Gala Restoran
Barcelona,HAS_RESTAURANT,Barceloneta Restoran
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_COUNTRY,İspanya
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_COUNTRY,Fransa
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,Bilbao
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,San Sebastian
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,Biarritz
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,Saint Jean De Luz
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_DATE_START,2025-09-12
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_DATE_END,2025-09-15
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_SEASON,Sonbahar
Biarritz,HAS_ACTIVITY,Biarritz Gezisi
Saint Jean De Luz,HAS_ACTIVITY,Saint Jean De Luz Gezisi
San Sebastian,HAS_ACTIVITY,San Sebastian Şehir Gezisi
UNKNOWN,HAS_ACTIVITY,Guggenheim Müzesi Gezisi
Bilbao,HAS_HOTEL,Hotel Maria Cristina
Bilbao,HAS_RESTAURANT,Restaurante Ilura
Bilbao,HAS_RESTAURANT,Elkano Restaurant
Bilbao,HAS_RESTAURANT,Cafe Iruña
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Avustralya
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Yeni Zelanda
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Singapur
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Singapore
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Auckland
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Rotorua
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Wellington
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Tekapo
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Queenstown
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Gold Coast
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Sydney
Auckland,HAS_ACTIVITY,Auckland Şehir Gezisi
UNKNOWN,HAS_ACTIVITY,Te Puia Maori Dansı ve Gayzerler
UNKNOWN,HAS_ACTIVITY,Weta Workshop
Queenstown,HAS_ACTIVITY,Queenstown Panoramik Gezisi
UNKNOWN,HAS_ACTIVITY,Seal Bay Conservation Park
UNKNOWN,HAS_ACTIVITY,Flinders Chase National Park
Sydney,HAS_ACTIVITY,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi
UNKNOWN,HAS_ACTIVITY,Blue Mountains Gezisi
Sydney,HAS_ACTIVITY,Sydney Opera Binası & Harbour Bridge
Singapore,HAS_HOTEL,JW Marriott Hotel Singapore South Beach
Rotorua,HAS_HOTEL,Pullman Rotorua
Wellington,HAS_HOTEL,Intercontinental Hotel Wellington
Tekapo,HAS_HOTEL,Peppers Blue Water Resort Lake Tekapo
Singapore,HAS_HOTEL,The Rees Hotel & Luxury Apartments
Gold Coast,HAS_HOTEL,JW Marriott Gold Coast Resort & Spa
Sydney,HAS_HOTEL,Sydney Harbour Marriott Hotel at Circular Quay
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_COUNTRY,Endonezya
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_COUNTRY,Tayland
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_CITY,Bali
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_CITY,Bangkok
UNKNOWN,HAS_ACTIVITY,Volcanoes & Temples Turu (Helikopter)
Bangkok,HAS_HOTEL,Capella Bangkok Hotel
Bali,HAS_HOTEL,Riverside Pool Villa
Bali,HAS_RESTAURANT,Koral Restaurant
Bali,HAS_RESTAURANT,Restaurant POTONG
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_COUNTRY,Danimarka
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_COUNTRY,Norveç
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Kopenhag
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Bergen
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Flåm
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Oslo
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_DATE_START,2025-08-18
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_DATE_END,2025-08-25
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_SEASON,Yaz
UNKNOWN,HAS_ACTIVITY,Designmuseum Danmark
Bergen,HAS_ACTIVITY,Bergen Market Square & Balık Pazarı
Flåm,HAS_ACTIVITY,Flåm Railway Museum
UNKNOWN,HAS_ACTIVITY,Vigeland Heykel Parkı
Oslo,HAS_ACTIVITY,Oslo Opera Binası
UNKNOWN,HAS_ACTIVITY,Ulusal Müze
UNKNOWN,HAS_ACTIVITY,Munch Müzesi
UNKNOWN,HAS_ACTIVITY,Astrup Fearnley Museum of Modern Art
Kopenhag,HAS_HOTEL,Nimb Hotel
Bergen,HAS_HOTEL,Bergen Børs Hotel
Kopenhag,HAS_HOTEL,Fretheim Hotel
Kopenhag,HAS_RESTAURANT,Fjellskål Seafood Restaurant
Kopenhag,HAS_RESTAURANT,Restaurant Arven
Kopenhag,HAS_RESTAURANT,Lofoten Fiskerestaurant
Kopenhag,HAS_RESTAURANT,Bryggen Tracteursted
Kopenhag,HAS_RESTAURANT,Izakaya Bar & Terrace
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_COUNTRY,Güney Afrika
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_COUNTRY,Zambiya
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Cape Town
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Franschhoek
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Livingstone
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Serengeti
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_DATE_START,2026-01-25
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_DATE_END,2026-01-03
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_SEASON,Kış
UNKNOWN,HAS_ACTIVITY,Mukuni Village Gezisi
UNKNOWN,HAS_ACTIVITY,Sunset Safari Cruise
Livingstone,HAS_ACTIVITY,David Livingstone Müzesi
Franschhoek,HAS_ACTIVITY,Franschhoek Şarap Bağları ve Galeriler
UNKNOWN,HAS_ACTIVITY,Huguenot Anıt Müzesi
Franschhoek,HAS_ACTIVITY,Franschhoek Motor Müzesi
UNKNOWN,HAS_ACTIVITY,Güney Afrika'nın İlk Parfüm Müzesi
UNKNOWN,HAS_ACTIVITY,Masa Dağı
UNKNOWN,HAS_ACTIVITY,Kirstenbosch Ulusal Botanik Bahçesi
UNKNOWN,HAS_ACTIVITY,Boulders Beach Penguen Kolonisi
Cape Town,HAS_ACTIVITY,Cape Town Şehir Gezisi
UNKNOWN,HAS_ACTIVITY,Two Oceans Aquarium
UNKNOWN,HAS_ACTIVITY,Camps Bay ve Clifton Beach
UNKNOWN,HAS_ACTIVITY,Zeitz Museum of Contemporary Art Africa
UNKNOWN,HAS_ACTIVITY,Güney Afrika Ulusal Müzesi (İziko)
UNKNOWN,HAS_ACTIVITY,Planetarium
Cape Town,HAS_ACTIVITY,Cape Town Graffiti Street Art Turu
Livingstone,HAS_HOTEL,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
Cape Town,HAS_HOTEL,Babylonstoren Hotel
Cape Town,HAS_HOTEL,Marataba Safari Lodge
Cape Town,HAS_RESTAURANT,The Lookout Cafe
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_COUNTRY,Japonya
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Tokyo
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Okayama
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Kyoto
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Naoshima
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Teshima
UNKNOWN,HAS_ACTIVITY,Meiji Tapınağı
UNKNOWN,HAS_ACTIVITY,Ota Memorial Museum of Art
UNKNOWN,HAS_ACTIVITY,Doğu Bahçeler
UNKNOWN,HAS_ACTIVITY,Shibuya Sky
UNKNOWN,HAS_ACTIVITY,Miyashita Park
UNKNOWN,HAS_ACTIVITY,Mori Art Museum
UNKNOWN,HAS_ACTIVITY,National Art Centre
UNKNOWN,HAS_ACTIVITY,Museum of Contemporary Art
UNKNOWN,HAS_ACTIVITY,Chichu Sanat Müzesi
UNKNOWN,HAS_ACTIVITY,Art House Project
UNKNOWN,HAS_ACTIVITY,Lee Ufan Müzesi
UNKNOWN,HAS_ACTIVITY,Benesse House
Teshima,HAS_ACTIVITY,Teshima Sanat Müzesi
UNKNOWN,HAS_ACTIVITY,Les Archives du Coeur
Tokyo,HAS_HOTEL,Mitsui Garden Hotel Premier Jingu-Gaien
Tokyo,HAS_HOTEL,Uno Hotel
Kyoto,HAS_HOTEL,ACE Hotel Kyoto
LAPLAND TURU 19 – 24 OCAK,HAS_COUNTRY,İsveç
LAPLAND TURU 19 – 24 OCAK,HAS_CITY,Jukkasjärvi
LAPLAND TURU 19 – 24 OCAK,HAS_CITY,Harads
LAPLAND TURU 19 – 24 OCAK,HAS_DATE_START,2025-01-19
LAPLAND TURU 19 – 24 OCAK,HAS_DATE_END,2025-01-24
LAPLAND TURU 19 – 24 OCAK,HAS_SEASON,Kış
UNKNOWN,HAS_ACTIVITY,Gece Safarisi
UNKNOWN,HAS_ACTIVITY,Kar Mobili Safarisi
Jukkasjärvi,HAS_HOTEL,ICEHOTEL
Jukkasjärvi,HAS_HOTEL,Kaamos Hotel
Jukkasjärvi,HAS_HOTEL,Treehotel
MISIR TURU 20 – 25 NİSAN 2024,HAS_COUNTRY,Mısır
MISIR TURU 20 – 25 NİSAN 2024,HAS_CITY,Kahire
MISIR TURU 20 – 25 NİSAN 2024,HAS_CITY,Aswan
MISIR TURU 20 – 25 NİSAN 2024,HAS_CITY,Luxor
MISIR TURU 20 – 25 NİSAN 2024,HAS_DATE_START,2024-04-20
MISIR TURU 20 – 25 NİSAN 2024,HAS_DATE_END,2024-04-25
MISIR TURU 20 – 25 NİSAN 2024,HAS_SEASON,İlkbahar
UNKNOWN,HAS_ACTIVITY,Giza Piramitleri
UNKNOWN,HAS_ACTIVITY,Büyük Giza Sfenksi
UNKNOWN,HAS_ACTIVITY,Mısır Müzesi
UNKNOWN,HAS_ACTIVITY,Khan El Khalili Çarşısı
UNKNOWN,HAS_ACTIVITY,High Dam
UNKNOWN,HAS_ACTIVITY,Philae Tapınağı
UNKNOWN,HAS_ACTIVITY,Kom Ombo Tapınağı
UNKNOWN,HAS_ACTIVITY,Edfu Tapınağı
Luxor,HAS_ACTIVITY,Luxor East Bank Gezisi
UNKNOWN,HAS_ACTIVITY,Karnak Tapınağı
Luxor,HAS_ACTIVITY,Luxor Tapınağı
UNKNOWN,HAS_ACTIVITY,Nil Nehri Sıcak Hava Balonu
Kahire,HAS_HOTEL,Marriott Mena House Hotel
Kahire,HAS_HOTEL,Movenpick Sunray Nile Cruise
AMALFI TURU 20 – 23 HAZİRAN,HAS_COUNTRY,İtalya
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Amalfi
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Ravello
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Pompei
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Napoli
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Sorrento
AMALFI TURU 20 – 23 HAZİRAN,HAS_DATE_START,2025-06-20
AMALFI TURU 20 – 23 HAZİRAN,HAS_DATE_END,2025-06-23
AMALFI TURU 20 – 23 HAZİRAN,HAS_SEASON,Yaz
Ravello,HAS_ACTIVITY,Ravello - Villa Cimbrone Bahçesi
Ravello,HAS_ACTIVITY,Ravello - Villa Rufolo
Pompei,HAS_ACTIVITY,Pompei Şehri Ziyareti
Napoli,HAS_ACTIVITY,Napoli Şehri Gezisi
Napoli,HAS_ACTIVITY,Duomo di Napoli
UNKNOWN,HAS_ACTIVITY,Il Pio Monte della Misericordia
UNKNOWN,HAS_ACTIVITY,Palazzo Reale
UNKNOWN,HAS_ACTIVITY,Castel dell’Ovo
Amalfi,HAS_ACTIVITY,Amalfi Kasabası Gezisi
UNKNOWN,HAS_ACTIVITY,Cattedrale di Sant’Andrea
UNKNOWN,HAS_ACTIVITY,Piazza Duomo
UNKNOWN,HAS_ACTIVITY,Piazza dei Dogi
UNKNOWN,HAS_ACTIVITY,Piazza dello Spirito Santo
Sorrento,HAS_ACTIVITY,Sorrento Gezisi
UNKNOWN,HAS_ACTIVITY,Piazza Tasso
UNKNOWN,HAS_ACTIVITY,Basilica di Sant’Antonino
UNKNOWN,HAS_ACTIVITY,Sedile Dominova
Sorrento,HAS_ACTIVITY,Sorrento Peninsula Arkeoloji Müzesi
UNKNOWN,HAS_ACTIVITY,Bottega Della Tarsia Lignea Müzesi
Amalfi,HAS_HOTEL,Villa Piedimonte
Amalfi,HAS_HOTEL,Hotel Rufolo
LOIRE TURU 20 – 23 NİSAN,HAS_COUNTRY,Fransa
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Loire
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Tours
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Amboise
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Blois
LOIRE TURU 20 – 23 NİSAN,HAS_DATE_START,2025-04-20
LOIRE TURU 20 – 23 NİSAN,HAS_DATE_END,2025-04-23
LOIRE TURU 20 – 23 NİSAN,HAS_SEASON,İlkbahar
UNKNOWN,HAS_ACTIVITY,Cheverny Şatosu
UNKNOWN,HAS_ACTIVITY,Villandry Şatosu
Amboise,HAS_ACTIVITY,Amboise Şatosu
UNKNOWN,HAS_ACTIVITY,Château du Clos Lucé
UNKNOWN,HAS_ACTIVITY,Château de Chenonceau
Blois,HAS_ACTIVITY,Château de Blois
UNKNOWN,HAS_ACTIVITY,Château de Chambord
Loire,HAS_ACTIVITY,Loire Vadisi Balon Turu
Tours,HAS_ACTIVITY,Tours Şehri Gezisi
Loire,HAS_RESTAURANT,Avarum Restaurant
Loire,HAS_RESTAURANT,Restaurante Amour Blanc
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_COUNTRY,Belçika
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_COUNTRY,Fransa
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Brugge
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Gent
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Loire
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Amboise
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Blois
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_DATE_START,2025-04-20
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_DATE_END,2025-04-23
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_SEASON,İlkbahar
Brugge,HAS_ACTIVITY,Brugge Gezisi
Gent,HAS_ACTIVITY,Gent Gezisi
UNKNOWN,HAS_ACTIVITY,Clos de Lucé
Loire,HAS_ACTIVITY,Loire Vadisi Şarap Bağları
Brugge,HAS_HOTEL,Hotel De Orangerie
Brugge,HAS_HOTEL,Hotel Van Cleef
Brugge,HAS_HOTEL,Hotel Heritage Relais Chateau
Brugge,HAS_HOTEL,Hotel Dukes' Palace
AMALFI TURU 20 – 24 HAZİRAN,HAS_COUNTRY,İtalya
AMALFI TURU 20 – 24 HAZİRAN,HAS_CITY,Amalfi
AMALFI TURU 20 – 24 HAZİRAN,HAS_DATE_START,2025-06-20
AMALFI TURU 20 – 24 HAZİRAN,HAS_DATE_END,2025-06-24
AMALFI TURU 20 – 24 HAZİRAN,HAS_SEASON,Yaz
Amalfi,HAS_ACTIVITY,Tam Gün Tekne Gezisi
SALZBURG TURU 20 – 25 ARALIK,HAS_COUNTRY,Avusturya
SALZBURG TURU 20 – 25 ARALIK,HAS_COUNTRY,Almanya
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,Salzburg
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,Hallstatt
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,St Wolfgang
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,Berchtesgaden
SALZBURG TURU 20 – 25 ARALIK,HAS_DATE_START,2025-12-20
SALZBURG TURU 20 – 25 ARALIK,HAS_DATE_END,2025-12-25
SALZBURG TURU 20 – 25 ARALIK,HAS_SEASON,Kış
UNKNOWN,HAS_ACTIVITY,Mirabel Sarayı ve Bahçesi
UNKNOWN,HAS_ACTIVITY,Mozart’ın Evi
UNKNOWN,HAS_ACTIVITY,Residenzplatz & DomQuartier
UNKNOWN,HAS_ACTIVITY,Noel Pazarları
Hallstatt,HAS_ACTIVITY,Hallstatt Gezisi
UNKNOWN,HAS_ACTIVITY,Salzberg Dağı & Tuz Madeni Ziyareti
St Wolfgang,HAS_ACTIVITY,Atlı Kızak Turu (St Wolfgang)
Salzburg,HAS_ACTIVITY,Salzburg Kalesi
Berchtesgaden,HAS_ACTIVITY,Adolf Hitler’in Kartal Yuvası
Berchtesgaden,HAS_ACTIVITY,Salzbergwerk Berchtesgaden
UNKNOWN,HAS_ACTIVITY,Grassl Likör Fabrikası
Salzburg,HAS_HOTEL,Radisson Blu Hotel Altstadt
Salzburg,HAS_HOTEL,Hotel Goldener Hirsch
Salzburg,HAS_HOTEL,Hotel Bristol
Salzburg,HAS_RESTAURANT,Cafe Sacher Salzburg
Salzburg,HAS_RESTAURANT,Restaurant Blaue Gans Salzburg Gasthaus
BELGRAD TURU 21 – 23 EYLÜL,HAS_COUNTRY,Sırbistan
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Belgrad
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Karlofca
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Novi Sad
