start_id,end_id,type
1f145fbf-7d26-4624-88a2-6424f73169b6,Satyricon Restaurant,EATS_AT
1f145fbf-7d26-4624-88a2-6424f73169b6,La Cabrera Restaurant,EATS_AT
1f145fbf-7d26-4624-88a2-6424f73169b6,Fervor Restaurant,EATS_AT
287f5664-1020-4b51-867f-19f531aa659d,Iceland,VISITS
287f5664-1020-4b51-867f-19f531aa659d,Iceland,IN_COUNTRY
287f5664-1020-4b51-867f-19f531aa659d,Hali Country Hotel,STAYS_AT
287f5664-1020-4b51-867f-19f531aa659d,Fosshotel Glacier Lagoon,STAYS_AT
287f5664-1020-4b51-867f-19f531aa659d,Blue Lagoon,DOES
287f5664-1020-4b51-867f-19f531aa659d,Kerid Crater Lake,DOES
287f5664-1020-4b51-867f-19f531aa659d,Skaftafell National Park,DOES
287f5664-1020-4b51-867f-19f531aa659d,Ice Cave,DOES
287f5664-1020-4b51-867f-19f531aa659d,Svartifoss Şelalesi,DOES
287f5664-1020-4b51-867f-19f531aa659d,Fjallsárlón Glacier Lagoon,DOES
287f5664-1020-4b51-867f-19f531aa659d,Jökulsárlón Glacier Lagoon,DOES
287f5664-1020-4b51-867f-19f531aa659d,Goðafoss Şelalesi,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Cape Town,VISITS
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Stellenbosch,VISITS
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Franschhoek,VISITS
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Kimberley,VISITS
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Africa meridionale,IN_COUNTRY
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Babel Hotel,STAYS_AT
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Cape Town & Masa Dağı Gezisi,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Zeitz Çağdaş Sanatlar Müzesi,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Cape Point & Ümit Burnu,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Boulders Penguen Kolonisi,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Stellenbosch Şarap Evleri,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Franschhoek Şarap Bağları,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,La Motte Şarap Tadımı,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Matjiesfontein Köyü,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Kimberley Diamond Mine & Big Hole,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Sabah Safari,DOES
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,Akşam Safari,DOES
ae62605d-42c9-474a-b39a-b7487439b161,VENICE,VISITS
ae62605d-42c9-474a-b39a-b7487439b161,Milan,VISITS
ae62605d-42c9-474a-b39a-b7487439b161,Italia,IN_COUNTRY
ae62605d-42c9-474a-b39a-b7487439b161,Hotel Ai Cavalieri,STAYS_AT
ae62605d-42c9-474a-b39a-b7487439b161,Ristorante Da Ivo,EATS_AT
ae62605d-42c9-474a-b39a-b7487439b161,Ristorante Acqua Pazza,EATS_AT
ae62605d-42c9-474a-b39a-b7487439b161,Osteria Enoteca San Marco,EATS_AT
ae62605d-42c9-474a-b39a-b7487439b161,Restaurant Terrazza Danieli,EATS_AT
ae62605d-42c9-474a-b39a-b7487439b161,Da Giacomo,EATS_AT
ae62605d-42c9-474a-b39a-b7487439b161,Il Salumaio di Montenapoleone,EATS_AT
ae62605d-42c9-474a-b39a-b7487439b161,Solferino Restaurant,EATS_AT
f4fe83b6-639f-4b84-b339-c7d941fe6276,Maldive,VISITS
f4fe83b6-639f-4b84-b339-c7d941fe6276,Maldive,IN_COUNTRY
f4fe83b6-639f-4b84-b339-c7d941fe6276,Beach Villa with Pool,STAYS_AT
f4fe83b6-639f-4b84-b339-c7d941fe6276,Water Villa with Pool,STAYS_AT
f4fe83b6-639f-4b84-b339-c7d941fe6276,Water Villa One Bedroom,STAYS_AT
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Arusha,VISITS
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Plaine du Serengeti,VISITS
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Zanzibar,VISITS
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Tanzania,IN_COUNTRY
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Singita Lodge,STAYS_AT
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Singita Sasakawa Lodge,STAYS_AT
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Serengeti Ulusal Parkı Safari,DOES
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Öğle Safarisi,DOES
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,Sabah ve Akşam Safarileri,DOES
33bda353-8437-45ae-9a29-3c8d8760d98f,BARCELONA,VISITS
33bda353-8437-45ae-9a29-3c8d8760d98f,Espagne,IN_COUNTRY
33bda353-8437-45ae-9a29-3c8d8760d98f,Park Güell,DOES
33bda353-8437-45ae-9a29-3c8d8760d98f,La Sagrada Familia,DOES
33bda353-8437-45ae-9a29-3c8d8760d98f,Casa Milà,DOES
33bda353-8437-45ae-9a29-3c8d8760d98f,Plaza Catalunya,DOES
33bda353-8437-45ae-9a29-3c8d8760d98f,Gotik Mahallesi,DOES
33bda353-8437-45ae-9a29-3c8d8760d98f,La Pepita Tapas Bar,EATS_AT
33bda353-8437-45ae-9a29-3c8d8760d98f,Gala Restoran,EATS_AT
33bda353-8437-45ae-9a29-3c8d8760d98f,Barceloneta Restoran,EATS_AT
da0c4939-1227-434a-bee9-04d4bd53f70e,Bilbao,VISITS
da0c4939-1227-434a-bee9-04d4bd53f70e,San Sebastian,VISITS
da0c4939-1227-434a-bee9-04d4bd53f70e,Biarritz,VISITS
da0c4939-1227-434a-bee9-04d4bd53f70e,Saint Jean De Luz,VISITS
da0c4939-1227-434a-bee9-04d4bd53f70e,Espagne,IN_COUNTRY
da0c4939-1227-434a-bee9-04d4bd53f70e,France,IN_COUNTRY
da0c4939-1227-434a-bee9-04d4bd53f70e,Hotel Maria Cristina,STAYS_AT
da0c4939-1227-434a-bee9-04d4bd53f70e,Biarritz Gezisi,DOES
da0c4939-1227-434a-bee9-04d4bd53f70e,Saint Jean De Luz Gezisi,DOES
da0c4939-1227-434a-bee9-04d4bd53f70e,San Sebastian Şehir Gezisi,DOES
da0c4939-1227-434a-bee9-04d4bd53f70e,Guggenheim Müzesi Gezisi,DOES
da0c4939-1227-434a-bee9-04d4bd53f70e,Restaurante Ilura,EATS_AT
da0c4939-1227-434a-bee9-04d4bd53f70e,Elkano Restaurant,EATS_AT
da0c4939-1227-434a-bee9-04d4bd53f70e,Cafe Iruña,EATS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Singapore,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Auckland,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Rotorua,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Wellington,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Tekapo,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Queenstown,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Gold Coast,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Sidney,VISITS
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Australia,IN_COUNTRY
a7efcb24-7b19-4e89-a779-bbb8566f9efd,New Zealand,IN_COUNTRY
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Singapore,IN_COUNTRY
a7efcb24-7b19-4e89-a779-bbb8566f9efd,JW Marriott Hotel Singapore South Beach,STAYS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Pullman Rotorua,STAYS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Intercontinental Hotel Wellington,STAYS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Peppers Blue Water Resort Lake Tekapo,STAYS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,The Rees Hotel & Luxury Apartments,STAYS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,JW Marriott Gold Coast Resort & Spa,STAYS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Sydney Harbour Marriott Hotel at Circular Quay,STAYS_AT
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Auckland Şehir Gezisi,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Te Puia Maori Dansı ve Gayzerler,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Weta Workshop,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Queenstown Panoramik Gezisi,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Seal Bay Conservation Park,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Flinders Chase National Park,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Blue Mountains Gezisi,DOES
a7efcb24-7b19-4e89-a779-bbb8566f9efd,Sydney Opera Binası & Harbour Bridge,DOES
829c9a30-ae64-44d9-bdf9-13ed38acada1,Bali,VISITS
829c9a30-ae64-44d9-bdf9-13ed38acada1,Bangkok,VISITS
829c9a30-ae64-44d9-bdf9-13ed38acada1,Endonezya,IN_COUNTRY
829c9a30-ae64-44d9-bdf9-13ed38acada1,Tayland,IN_COUNTRY
829c9a30-ae64-44d9-bdf9-13ed38acada1,Capella Bangkok Hotel,STAYS_AT
829c9a30-ae64-44d9-bdf9-13ed38acada1,Riverside Pool Villa,STAYS_AT
829c9a30-ae64-44d9-bdf9-13ed38acada1,Volcanoes & Temples Turu (Helikopter),DOES
829c9a30-ae64-44d9-bdf9-13ed38acada1,Koral Restaurant,EATS_AT
829c9a30-ae64-44d9-bdf9-13ed38acada1,Restaurant POTONG,EATS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Copenaghen,VISITS
161b42cb-1fea-4aca-b25f-51baa1802774,Bergen,VISITS
161b42cb-1fea-4aca-b25f-51baa1802774,Flåm,VISITS
161b42cb-1fea-4aca-b25f-51baa1802774,Oslo,VISITS
161b42cb-1fea-4aca-b25f-51baa1802774,Danemark (pays constitutif),IN_COUNTRY
161b42cb-1fea-4aca-b25f-51baa1802774,Norvegia,IN_COUNTRY
161b42cb-1fea-4aca-b25f-51baa1802774,Nimb Hotel,STAYS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Bergen Børs Hotel,STAYS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Fretheim Hotel,STAYS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Designmuseum Danmark,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Bergen Market Square & Balık Pazarı,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Flåm Railway Museum,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Vigeland Heykel Parkı,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Oslo Opera Binası,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Ulusal Müze,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Munch Müzesi,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Astrup Fearnley Museum of Modern Art,DOES
161b42cb-1fea-4aca-b25f-51baa1802774,Fjellskål Seafood Restaurant,EATS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Restaurant Arven,EATS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Lofoten Fiskerestaurant,EATS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Bryggen Tracteursted,EATS_AT
161b42cb-1fea-4aca-b25f-51baa1802774,Izakaya Bar & Terrace,EATS_AT
e9d7226d-8100-4246-b53d-d406a2448edb,Cape Town,VISITS
e9d7226d-8100-4246-b53d-d406a2448edb,Franschhoek,VISITS
e9d7226d-8100-4246-b53d-d406a2448edb,Livingstone,VISITS
e9d7226d-8100-4246-b53d-d406a2448edb,Plaine du Serengeti,VISITS
e9d7226d-8100-4246-b53d-d406a2448edb,Africa meridionale,IN_COUNTRY
e9d7226d-8100-4246-b53d-d406a2448edb,Zambiya,IN_COUNTRY
e9d7226d-8100-4246-b53d-d406a2448edb,Royal Livingstone Victoria Falls Zambia Hotel by Anantara,STAYS_AT
e9d7226d-8100-4246-b53d-d406a2448edb,Babylonstoren Hotel,STAYS_AT
e9d7226d-8100-4246-b53d-d406a2448edb,Marataba Safari Lodge,STAYS_AT
e9d7226d-8100-4246-b53d-d406a2448edb,Mukuni Village Gezisi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Sunset Safari Cruise,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,David Livingstone Müzesi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Franschhoek Şarap Bağları ve Galeriler,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Huguenot Anıt Müzesi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Franschhoek Motor Müzesi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Güney Afrika'nın İlk Parfüm Müzesi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Masa Dağı,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Kirstenbosch Ulusal Botanik Bahçesi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Boulders Beach Penguen Kolonisi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Cape Town Şehir Gezisi,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Two Oceans Aquarium,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Camps Bay ve Clifton Beach,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Zeitz Museum of Contemporary Art Africa,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Güney Afrika Ulusal Müzesi (İziko),DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Planetarium,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,Cape Town Graffiti Street Art Turu,DOES
e9d7226d-8100-4246-b53d-d406a2448edb,The Lookout Cafe,EATS_AT
1790268b-5a18-43cf-80d2-428e8264b52e,TOKYO,VISITS
1790268b-5a18-43cf-80d2-428e8264b52e,Okayama,VISITS
1790268b-5a18-43cf-80d2-428e8264b52e,KYOTO,VISITS
1790268b-5a18-43cf-80d2-428e8264b52e,Isola di Naoshima,VISITS
1790268b-5a18-43cf-80d2-428e8264b52e,Teshima,VISITS
1790268b-5a18-43cf-80d2-428e8264b52e,Giappone,IN_COUNTRY
1790268b-5a18-43cf-80d2-428e8264b52e,Mitsui Garden Hotel Premier Jingu-Gaien,STAYS_AT
1790268b-5a18-43cf-80d2-428e8264b52e,Uno Hotel,STAYS_AT
1790268b-5a18-43cf-80d2-428e8264b52e,ACE Hotel Kyoto,STAYS_AT
1790268b-5a18-43cf-80d2-428e8264b52e,Meiji Tapınağı,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Ota Memorial Museum of Art,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Doğu Bahçeler,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Shibuya Sky,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Miyashita Park,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Mori Art Museum,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,National Art Centre,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Museum of Contemporary Art,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Chichu Sanat Müzesi,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Art House Project,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Lee Ufan Müzesi,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Benesse House,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Teshima Sanat Müzesi,DOES
1790268b-5a18-43cf-80d2-428e8264b52e,Les Archives du Coeur,DOES
b3ed435d-6086-4392-ac73-d392ef3417fd,Jukkasjärvi,VISITS
b3ed435d-6086-4392-ac73-d392ef3417fd,Harads,VISITS
b3ed435d-6086-4392-ac73-d392ef3417fd,Suède,IN_COUNTRY
b3ed435d-6086-4392-ac73-d392ef3417fd,ICEHOTEL,STAYS_AT
b3ed435d-6086-4392-ac73-d392ef3417fd,Kaamos Hotel,STAYS_AT
b3ed435d-6086-4392-ac73-d392ef3417fd,Treehotel,STAYS_AT
b3ed435d-6086-4392-ac73-d392ef3417fd,Gece Safarisi,DOES
b3ed435d-6086-4392-ac73-d392ef3417fd,Kar Mobili Safarisi,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Cairo,VISITS
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Assouan,VISITS
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Louxor,VISITS
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Egitto,IN_COUNTRY
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Marriott Mena House Hotel,STAYS_AT
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Movenpick Sunray Nile Cruise,STAYS_AT
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Giza Piramitleri,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Büyük Giza Sfenksi,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Mısır Müzesi,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Khan El Khalili Çarşısı,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,High Dam,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Philae Tapınağı,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Kom Ombo Tapınağı,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Edfu Tapınağı,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Luxor East Bank Gezisi,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Karnak Tapınağı,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Luxor Tapınağı,DOES
04e7f5c3-0137-49b7-8f1e-d4fe16e85696,Nil Nehri Sıcak Hava Balonu,DOES
e66af09a-e47a-4196-986c-171fce711038,Amalfi,VISITS
e66af09a-e47a-4196-986c-171fce711038,Ravello,VISITS
e66af09a-e47a-4196-986c-171fce711038,Pompei,VISITS
e66af09a-e47a-4196-986c-171fce711038,Naples,VISITS
e66af09a-e47a-4196-986c-171fce711038,Sorrente,VISITS
e66af09a-e47a-4196-986c-171fce711038,Italia,IN_COUNTRY
e66af09a-e47a-4196-986c-171fce711038,Villa Piedimonte,STAYS_AT
e66af09a-e47a-4196-986c-171fce711038,Hotel Rufolo,STAYS_AT
e66af09a-e47a-4196-986c-171fce711038,Ravello - Villa Cimbrone Bahçesi,DOES
e66af09a-e47a-4196-986c-171fce711038,Ravello - Villa Rufolo,DOES
e66af09a-e47a-4196-986c-171fce711038,Pompei Şehri Ziyareti,DOES
e66af09a-e47a-4196-986c-171fce711038,Napoli Şehri Gezisi,DOES
e66af09a-e47a-4196-986c-171fce711038,Duomo di Napoli,DOES
e66af09a-e47a-4196-986c-171fce711038,Il Pio Monte della Misericordia,DOES
e66af09a-e47a-4196-986c-171fce711038,Palazzo Reale,DOES
e66af09a-e47a-4196-986c-171fce711038,Castel dell’Ovo,DOES
e66af09a-e47a-4196-986c-171fce711038,Amalfi Kasabası Gezisi,DOES
e66af09a-e47a-4196-986c-171fce711038,Cattedrale di Sant’Andrea,DOES
e66af09a-e47a-4196-986c-171fce711038,Piazza Duomo,DOES
e66af09a-e47a-4196-986c-171fce711038,Piazza dei Dogi,DOES
e66af09a-e47a-4196-986c-171fce711038,Piazza dello Spirito Santo,DOES
e66af09a-e47a-4196-986c-171fce711038,Sorrento Gezisi,DOES
e66af09a-e47a-4196-986c-171fce711038,Piazza Tasso,DOES
e66af09a-e47a-4196-986c-171fce711038,Basilica di Sant’Antonino,DOES
e66af09a-e47a-4196-986c-171fce711038,Sedile Dominova,DOES
e66af09a-e47a-4196-986c-171fce711038,Sorrento Peninsula Arkeoloji Müzesi,DOES
e66af09a-e47a-4196-986c-171fce711038,Bottega Della Tarsia Lignea Müzesi,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Loira,VISITS
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Tours,VISITS
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Amboise,VISITS
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Blois,VISITS
c906a5ed-ba0a-46a1-a06c-51e83d28585f,France,IN_COUNTRY
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Cheverny Şatosu,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Villandry Şatosu,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Amboise Şatosu,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Château du Clos Lucé,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Château de Chenonceau,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Château de Blois,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Château de Chambord,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Loire Vadisi Balon Turu,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Tours Şehri Gezisi,DOES
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Avarum Restaurant,EATS_AT
c906a5ed-ba0a-46a1-a06c-51e83d28585f,Restaurante Amour Blanc,EATS_AT
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Bruges,VISITS
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Gent,VISITS
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Loira,VISITS
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Amboise,VISITS
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Blois,VISITS
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Belgio,IN_COUNTRY
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,France,IN_COUNTRY
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Hotel De Orangerie,STAYS_AT
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Hotel Van Cleef,STAYS_AT
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Hotel Heritage Relais Chateau,STAYS_AT
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Hotel Dukes' Palace,STAYS_AT
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Brugge Gezisi,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Gent Gezisi,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Cheverny Şatosu,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Château de Blois,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Clos de Lucé,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Amboise Şatosu,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Château de Chenonceau,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Château de Chambord,DOES
951f234f-6b85-46f9-9b6b-da9f5e0e23a1,Loire Vadisi Şarap Bağları,DOES
d5afb91a-2d7b-4c04-95f4-2694e20237bc,Amalfi,VISITS
d5afb91a-2d7b-4c04-95f4-2694e20237bc,Italia,IN_COUNTRY
d5afb91a-2d7b-4c04-95f4-2694e20237bc,Tam Gün Tekne Gezisi,DOES
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Salisburgo,VISITS
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Hallstatt,VISITS
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,St Wolfgang,VISITS
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Berchtesgaden,VISITS
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Austria,IN_COUNTRY
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Allemagne,IN_COUNTRY
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Radisson Blu Hotel Altstadt,STAYS_AT
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Hotel Goldener Hirsch,STAYS_AT
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Hotel Bristol,STAYS_AT
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Mirabel Sarayı ve Bahçesi,DOES
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Mozart’ın Evi,DOES
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Residenzplatz & DomQuartier,DOES
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Noel Pazarları,DOES
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Hallstatt Gezisi,DOES
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Salzberg Dağı & Tuz Madeni Ziyareti,DOES
4c7324a7-5e98-4ba0-bf3d-27a26aad1245,Atlı Kızak Turu (St Wolfgang),DOES
