id,name,label
440,Benesse House,Hotel
441,Shinjuku Gyoen Park,Activity
442,Senso-ji Tapınağı,Activity
443,Nakamise Alışveriş Caddesi,Activity
444,Meiji Shrine,Activity
445,Takeshita Street,Activity
446,Omotesando,Activity
447,TeamLab Planets,Activity
448,Ginza,Activity
449,Hakone Açık Hava Müzesi,Activity
450,Picasso Pavilion,Activity
451,Hakone Teleferiği,Activity
452,Owakudani Vadisi,Activity
453,Ashinoko Tekne Gezisi,Activity
454,Kiyomizu Tapınağı,Activity
455,Kinkaku-ji,Activity
456,Geisha & Maiko Gösterisi,Activity
457,Nara Park,Activity
458,Kasuga Taisha,Activity
459,Tenryu-ji Tapınağı,Activity
460,Monkey Park Iwatayama,Activity
461,Teshima Yokoo Evi,Activity
462,Hakone,City
463,Nara,City
464,ARLES TURU 03 – 06 EKİM,Trip
465,Arles,City
466,Restaurant L'Oriel,Restaurant
467,Café Tadoa Ando,Restaurant
468,La Taula Gallici's Gourmet Restaurant,Restaurant
469,LUMA Müzesi,Activity
470,Van Gogh Müzesi,Activity
471,Art Tour,Activity
472,Avignon Gezisi,Activity
473,Chateau Estoublon,Activity
474,Les Baux-de-Provence Gezisi,Activity
475,L'Isle-sur-la-Sorgue Gezisi,Activity
476,Avignon,City
477,Les Baux-de-Provence,City
478,L'Isle-sur-la-Sorgue,City
479,PUGLIA TURU 07 – 11 EKİM,Trip
480,Bari,City
481,Canne Bianche Lifestyle & Hotel,Hotel
482,Alberobello Trulli Evleri,Activity
483,Matera Gezisi,Activity
484,Monopoli Gezisi,Activity
485,Polignano a Mare Gezisi,Activity
486,Lecce Şehir Gezisi,Activity
487,Santa Croce Bazilikası,Activity
488,San Giuseppe Kilisesi,Activity
489,Palazzo dei Celestini,Activity
490,Sant'Oronzo Meydanı,Activity
491,Antik Roma Amfitiyatrosu,Activity
492,Bari Şehir Gezisi,Activity
493,Saint Nicholas Bazilikası,Activity
494,San Sabino Katedrali,Activity
495,Hohenstaufen Kalesi,Activity
496,Old Town,Activity
497,Strada delle Orecchiette,Activity
498,Alberobello,City
499,Matera,City
500,Monopoli,City
501,Polignano a Mare,City
502,Lecce,City
503,PROVENCE TURU 4 – 7 MAYIS,Trip
504,Provence,City
505,Tadao Ando Café Restaurant,Restaurant
506,Chateau d’Estoublon,Restaurant
507,Chateau La Coste Art Tour,Activity
508,L’Isle-sur-la-Sorgue Gezisi,Activity
509,Roussillon Gezisi,Activity
510,Gordes Gezisi,Activity
511,Saint-Rémy-de-Provence Gezisi,Activity
512,Arles Gezisi,Activity
513,L’Isle-sur-la-Sorgue,City
514,Roussillon,City
515,Gordes,City
516,Saint-Rémy-de-Provence,City
517,59. Venedik Bienali,Trip
518,Trattoria Alla Madonna,Restaurant
519,Peggy Guggenheim Müzesi,Activity
520,Galleria dell’Accademia,Activity
521,Palazzo Manfrin,Activity
522,Giardini Bienali,Activity
523,Dubai Programı,Trip
524,Birleşik Arap Emirlikleri,Country
525,Dubai,City
526,Atlantis The Royal,Hotel
527,Nobu Restaurant - Atlantis the Palm,Restaurant
528,Dubai Creek – Old Town,Activity
529,Museum of the Future,Activity
530,Dubai Mall,Activity
531,İzmir’in En Güzel Köyleri - Şirince & Urla,Trip
532,Güllü Konak,Hotel
533,Artemis Restaurant ve Şarapevi,Restaurant
534,Yengeç Restoran - Urla İskele,Restaurant
535,Şirince Çarşısı,Activity
536,Aziz John Baptist Kilisesi,Activity
537,Hodri Meydan Kulesi,Activity
538,Şarap Mahzenleri,Activity
539,Nesin Matematik Köyü,Activity
540,Key Museum,Activity
541,Urla Sanat Sokağı,Activity
542,Necati Cumali Anı Evi,Activity
543,Yorgo Seferis’in doğduğu ev,Activity
544,Tanju Okan Parkı,Activity
545,Malgaca Pazarı,Activity
546,Urla,City
547,Toskana Gezisi,Trip
548,Bologna,City
549,Hotel Cerretani Firenze – Mgallery,Hotel
550,Buca Mario,Restaurant
551,Osteria delle Tre Panche,Restaurant
552,Ristorante Storico Sabatini,Restaurant
553,Buca Lapi,Restaurant
554,Antico Ristorante Paoli 1827,Restaurant
555,Santa Maria del Fiore Katedrali,Activity
556,Vaftizhane (Battistero di San Giovanni),Activity
557,Piazza della Signoria,Activity
558,Palazzo Vecchio,Activity
559,Uffizi Galerisi,Activity
560,Antinori nel Chianti Classico Şaraphanesi,Activity
561,San Gimignano UNESCO Dünya Mirası,Activity
562,Siena Şehir Merkezi,Activity
563,Cortona Tarihi Sokaklar,Activity
564,Orvieto Katedrali,Activity
565,Orvieto Yer Altı Tünelleri,Activity
566,Floransa,City
567,Chianti,City
568,San Gimignano,City
569,Siena,City
570,Cortona,City
571,Orvieto,City
572,Roma,City
573,Avustralya – Yeni Zelanda,Trip
574,Park Hyatt Sydney,Hotel
575,The Rocks,Activity
576,Botanik Bahçeleri - Sydney,Activity
577,Macquarie Caddesi,Activity
578,Hyde Park,Activity
579,St. Mary Katedrali,Activity
580,Mrs Macquarie’s Chair,Activity
581,Sydney Opera Binası,Activity
582,Sydney Köprüsü,Activity
583,Bondi Plajı,Activity
584,Oxford Caddesi,Activity
585,Paddington,Activity
586,Melbourne,City
587,Hindistan Gezisi,Trip
588,Hindistan,Country
589,Varanasi,City
590,Brijrama Palace,Hotel
591,Rambagh Palace,Hotel
592,Taj Lake Palace,Hotel
593,Udayan Terrace,Restaurant
594,Neelkamal Restaurant,Restaurant
595,Spice Route,Restaurant
596,Bukhara - ITC Maurya Hotel,Restaurant
597,City Palace Özel Akşam Yemeği,Restaurant
598,Mewar Terrace,Restaurant
599,Ganj Nehri Aarti Töreni,Activity
600,Kashi Vishwanath Tapınağı,Activity
601,Sarnath,Activity
602,Amber Fort,Activity
603,City Palace - Jaipur,Activity
604,Hawa Mahal,Activity
605,Jantar Mantar,Activity
606,City Palace - Udaipur,Activity
607,Crystal Gallery,Activity
608,Pichola Gölü,Activity
609,Muson Sarayı,Activity
610,Humayun’un Mezarı,Activity
611,Cumhurbaşkanlığı Sarayı,Activity
612,Hindistan Kapısı,Activity
613,Jama Mescidi,Activity
614,Chandni Chowk,Activity
615,Laxmi Narayan Tapınağı,Activity
616,Jaipur,City
617,Udaipur,City
618,Delhi,City
619,Meksika Gezisi,Trip
620,Meksika,Country
621,Mexico City,City
622,The St. Regis Mexico City,Hotel
623,Göl kenarında özel yemek,Restaurant
624,Woodend Restaurant,Restaurant
625,Ixi’im,Restaurant
626,Ki’ol,Restaurant
627,Centro Histórico,Activity
628,Zócalo Meydanı,Activity
629,Templo Mayor,Activity
630,Palacio de Bellas Artes,Activity
631,Plaza Manuel Tolsá,Activity
632,Antropoloji Müzesi,Activity
633,Coyoacán & Frida Kahlo Müzesi,Activity
634,Polanco,Activity
635,Chichen Itza,Activity
636,Kukulkan Piramidi,Activity
637,Plaza Grande,Activity
638,San Ildefonso Katedrali,Activity
639,Parque de Santa Lucía,Activity
640,Iglesia de Santa Lucía,Activity
641,Tekila & Mezcal Tadımı,Activity
642,Mérida,City
643,Chichen Itza,City
644,Cancún,City
645,Sicilya Gezisi,Trip
646,Katanya,City
647,Hotel Metropole Taormina,Hotel
648,Osteria Rosso Divino,Restaurant
649,Doba Restaurant and Terrace,Restaurant
650,Corso Umberto,Activity
651,Piazza IX Aprile,Activity
652,Porta Messina,Activity
653,Porta Catania,Activity
654,Teatro Greco,Activity
655,Villa Comunale Bahçeleri,Activity
656,Bar Vitelli,Activity
657,Godfather Film Kilisesi - Savoca,Activity
658,Forza d’Agrò Ortaçağ Köyü,Activity
659,Piazza del Municipio - Forza d’Agrò,Activity
660,Etna Yanardağı,Activity
661,Ortigia Adası,Activity
662,Ortigia Meydanı,Activity
663,Syracuse Katedrali,Activity
664,Arethusa Çeşmesi,Activity
665,Ragusa Ibla,Activity
666,Cattedrale di San Giovanni Battista,Activity
667,Chiesa di Santa Maria delle Scale,Activity
668,Palazzo della Cancelleria,Activity
669,Chiesa Anime Sante del Purgatorio,Activity
670,Duomo di San Giorgio,Activity
671,Giardini Iblei,Activity
672,Santa Maria dello Spasimo Kilisesi,Activity
673,Taormina,City
674,Savoca,City
675,Forza d’Agrò,City
676,Syracuse,City
677,Ragusa,City
678,Palermo,City
679,Porto Gezisi,Trip
680,Portekiz,Country
681,Porto,City
682,Maison Albar Hotels Le Monumental Palace,Hotel
683,Enoteca 1756 Restaurant,Restaurant
684,Marisqueira A Antiga,Restaurant
685,Casa de Chá de Boa Nova,Restaurant
686,Vinum Restaurant & Wine Bar,Restaurant
687,Tuktuk Gezisi & Rehberli Yürüyüş Turu,Activity
688,Boavista,Activity
689,Foz do Douro,Activity
690,São Francisco Kilisesi,Activity
691,Palácio da Bolsa,Activity
692,São Bento Tren İstasyonu,Activity
693,Porto Katedrali,Activity
694,Liberdade Meydanı,Activity
695,Batalha Meydanı,Activity
696,Ribeira Bölgesi,Activity
697,Torre dos Clérigos,Activity
698,Santa Catarina Caddesi,Activity
699,Lello Kütüphanesi,Activity
700,Serralves Müzesi,Activity
701,Six Bridges Tekne Turu,Activity
702,Gaia Şarap Evleri,Activity
703,Churchill Graham Şaraphanesi,Activity
704,Kahire Gezisi,Trip
705,Four Seasons Hotel Cairo at Nile Plaza,Hotel
706,Riviera - Four Seasons Hotel Cairo at Nile Plaza,Restaurant
707,Sfenks,Activity
708,Khufu Piramidi,Activity
709,Deve Gezisi - Piramitler,Activity
710,Büyük Mısır Müzesi,Activity
711,Sultan Hassan Camii,Activity
712,El Refaei Camii,Activity
713,Mısır Müzesi - Eski Müze,Activity
714,Nil Nehri Felucca Tekne Gezisi,Activity
715,Endülüs Gezisi,Trip
716,Granada,City
717,Elhamra Sarayı,Activity
718,Generalife Bahçeleri,Activity
719,Alcazaba,Activity
720,Partal,Activity
721,Nasrid Sarayı,Activity
722,Realejo Mahallesi,Activity
723,Comendadoras de Santiago,Activity
724,Dominicans of Santo Domingo,Activity
725,Fundación Rodriguez-Acosta Sanat Müzesi,Activity
726,Carmen de los Mártires Bahçesi,Activity
727,Capilla Real,Activity
728,Las Granadas Kapısı,Activity
729,Mezquita Camii - Córdoba,Activity
730,Alcazar Kalesi - Córdoba,Activity
731,Plaza Corredera - Córdoba,Activity
732,Musevi Mahallesi - Córdoba,Activity
733,Sevilla Katedrali,Activity
734,Giralda Kulesi,Activity
735,Alcázar - Sevilla,Activity
736,Altın Kule (Torre del Oro),Activity
737,Maria Luisa Parkı,Activity
738,El Alamillo Köprüsü,Activity
739,Puente Nuevo - Ronda,Activity
740,El Tajo Kanyonu,Activity
741,Casa del Rey Moro,Activity
742,Ronda Tarihi Sokakları,Activity
743,Plaza de Toros - Ronda,Activity
744,Córdoba,City
745,Sevilla,City
746,Ronda,City
747,Avustralya Gezisi,Trip
748,"The Tasman, a Luxury Collection Hotel, Hobart",Hotel
749,Nehir Kenarı Restoran - Adelaide,Restaurant
750,Yerel Lüks Restoran - Adelaide,Restaurant
751,Royal Exhibition Binası - Melbourne,Activity
752,Sanat Galerisi - Melbourne,Activity
753,Parlamento ve Hazine Binası - Melbourne,Activity
754,Fitzroy Gardens & Captain Cook’un Evi,Activity
755,Melbourne Müzesi,Activity
756,Franklin Meydanı - Hobart,Activity
757,Sullivan’s Cove,Activity
758,Anayasa Limanı - Hobart,Activity
759,Mount Wellington,Activity
760,Alman Kasabası Hahndorf,Activity
761,Barossa Valley Şarap Bağları,Activity
762,Brisbane Şehir Turu,Activity
763,Ateş Böceği Mağarası,Activity
764,Surfers Paradise - Gold Coast,Activity
765,Hyde Park Barracks - Sydney,Activity
766,Anzac-Atatürk Anıtı,Activity
767,Sydney Harbour Bridge,Activity
768,Darling Harbour,Activity
769,Ulusal Müze - Sydney,Activity
770,Sydney Opera House,Activity
771,Canberra Şehir Turu,Activity
772,Ballarat,City
773,Hobart,City
774,Adelaide,City
775,Hahndorf,City
776,Barossa Valley,City
777,Brisbane,City
778,Surfers Paradise,City
779,Canberra,City
780,Barselona Gezisi,Trip
781,Barselona,City
782,Almanac Barcelona,Hotel
783,Maná 75,Restaurant
784,El Tribut,Restaurant
785,BarcelonaMilona,Restaurant
