start,end,type
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Serengeti Ulusal Parkı Safari,HAS_ACTIVITY
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Öğle Safarisi,HAS_ACTIVITY
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Sabah ve Akşam Safarileri,HAS_ACTIVITY
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Kış,HAS_SEASON
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,DATE_2024-01-08,HAS_DATE_START
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,DATE_2024-01-17,HAS_DATE_END
BARCELONA TURU 09 – 11 KASIM,Barcelona,HAS_CITY
BARCELONA TURU 09 – 11 KASIM,İspanya,HAS_COUNTRY
BARCELONA TURU 09 – 11 KASIM,La Pepita Tapas Bar,HAS_RESTAURANT
BARCELONA TURU 09 – 11 KASIM,Gala Restoran,HAS_RESTAURANT
BARCELONA TURU 09 – 11 KASIM,Barceloneta Restoran,HAS_RESTAURANT
BARCELONA TURU 09 – 11 KASIM,Park Güell,HAS_ACTIVITY
BARCELONA TURU 09 – 11 KASIM,La Sagrada Familia,HAS_ACTIVITY
BARCELONA TURU 09 – 11 KASIM,Casa Milà,HAS_ACTIVITY
BARCELONA TURU 09 – 11 KASIM,Plaza Catalunya,HAS_ACTIVITY
BARCELONA TURU 09 – 11 KASIM,Gotik Mahallesi,HAS_ACTIVITY
BARCELONA TURU 09 – 11 KASIM,Sonbahar,HAS_SEASON
BARCELONA TURU 09 – 11 KASIM,DATE_2025-11-09,HAS_DATE_START
BARCELONA TURU 09 – 11 KASIM,DATE_2025-11-11,HAS_DATE_END
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Bilbao,HAS_CITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,San Sebastian,HAS_CITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Biarritz,HAS_CITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Saint Jean De Luz,HAS_CITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,İspanya,HAS_COUNTRY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Fransa,HAS_COUNTRY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Hotel Maria Cristina,HAS_HOTEL
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Restaurante Ilura,HAS_RESTAURANT
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Elkano Restaurant,HAS_RESTAURANT
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Cafe Iruña,HAS_RESTAURANT
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Biarritz Gezisi,HAS_ACTIVITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Saint Jean De Luz Gezisi,HAS_ACTIVITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,San Sebastian Şehir Gezisi,HAS_ACTIVITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Guggenheim Müzesi Gezisi,HAS_ACTIVITY
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Sonbahar,HAS_SEASON
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,DATE_2025-09-12,HAS_DATE_START
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,DATE_2025-09-15,HAS_DATE_END
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Singapore,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Auckland,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Rotorua,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Wellington,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Tekapo,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Queenstown,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Gold Coast,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Sydney,HAS_CITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Avustralya,HAS_COUNTRY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Yeni Zelanda,HAS_COUNTRY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Singapur,HAS_COUNTRY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,JW Marriott Hotel Singapore South Beach,HAS_HOTEL
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Pullman Rotorua,HAS_HOTEL
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Intercontinental Hotel Wellington,HAS_HOTEL
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Peppers Blue Water Resort Lake Tekapo,HAS_HOTEL
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,The Rees Hotel & Luxury Apartments,HAS_HOTEL
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,JW Marriott Gold Coast Resort & Spa,HAS_HOTEL
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Sydney Harbour Marriott Hotel at Circular Quay,HAS_HOTEL
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Auckland Şehir Gezisi,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Te Puia Maori Dansı ve Gayzerler,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Weta Workshop,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Queenstown Panoramik Gezisi,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Seal Bay Conservation Park,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Flinders Chase National Park,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Blue Mountains Gezisi,HAS_ACTIVITY
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Sydney Opera Binası & Harbour Bridge,HAS_ACTIVITY
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Bali,HAS_CITY
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Bangkok,HAS_CITY
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Endonezya,HAS_COUNTRY
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Tayland,HAS_COUNTRY
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Capella Bangkok Hotel,HAS_HOTEL
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Riverside Pool Villa,HAS_HOTEL
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Koral Restaurant,HAS_RESTAURANT
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Restaurant POTONG,HAS_RESTAURANT
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Volcanoes & Temples Turu (Helikopter),HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Kopenhag,HAS_CITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Bergen,HAS_CITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Flåm,HAS_CITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Oslo,HAS_CITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Danimarka,HAS_COUNTRY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Norveç,HAS_COUNTRY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Nimb Hotel,HAS_HOTEL
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Bergen Børs Hotel,HAS_HOTEL
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Fretheim Hotel,HAS_HOTEL
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Fjellskål Seafood Restaurant,HAS_RESTAURANT
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Restaurant Arven,HAS_RESTAURANT
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Lofoten Fiskerestaurant,HAS_RESTAURANT
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Bryggen Tracteursted,HAS_RESTAURANT
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Izakaya Bar & Terrace,HAS_RESTAURANT
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Designmuseum Danmark,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Bergen Market Square & Balık Pazarı,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Flåm Railway Museum,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Vigeland Heykel Parkı,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Oslo Opera Binası,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Ulusal Müze,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Munch Müzesi,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Astrup Fearnley Museum of Modern Art,HAS_ACTIVITY
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Yaz,HAS_SEASON
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,DATE_2025-08-18,HAS_DATE_START
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,DATE_2025-08-25,HAS_DATE_END
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Cape Town,HAS_CITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Franschhoek,HAS_CITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Livingstone,HAS_CITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Serengeti,HAS_CITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Güney Afrika,HAS_COUNTRY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Zambiya,HAS_COUNTRY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Royal Livingstone Victoria Falls Zambia Hotel by Anantara,HAS_HOTEL
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Babylonstoren Hotel,HAS_HOTEL
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Marataba Safari Lodge,HAS_HOTEL
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,The Lookout Cafe,HAS_RESTAURANT
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Mukuni Village Gezisi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Sunset Safari Cruise,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,David Livingstone Müzesi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Franschhoek Şarap Bağları ve Galeriler,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Huguenot Anıt Müzesi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Franschhoek Motor Müzesi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Güney Afrika'nın İlk Parfüm Müzesi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Masa Dağı,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Kirstenbosch Ulusal Botanik Bahçesi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Boulders Beach Penguen Kolonisi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Cape Town Şehir Gezisi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Two Oceans Aquarium,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Camps Bay ve Clifton Beach,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Zeitz Museum of Contemporary Art Africa,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Güney Afrika Ulusal Müzesi (İziko),HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Planetarium,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Cape Town Graffiti Street Art Turu,HAS_ACTIVITY
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Kış,HAS_SEASON
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,DATE_2026-01-25,HAS_DATE_START
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,DATE_2026-01-03,HAS_DATE_END
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Tokyo,HAS_CITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Okayama,HAS_CITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Kyoto,HAS_CITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Naoshima,HAS_CITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Teshima,HAS_CITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Japonya,HAS_COUNTRY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Mitsui Garden Hotel Premier Jingu-Gaien,HAS_HOTEL
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Uno Hotel,HAS_HOTEL
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,ACE Hotel Kyoto,HAS_HOTEL
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Meiji Tapınağı,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Ota Memorial Museum of Art,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Doğu Bahçeler,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Shibuya Sky,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Miyashita Park,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Mori Art Museum,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,National Art Centre,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Museum of Contemporary Art,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Chichu Sanat Müzesi,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Art House Project,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Lee Ufan Müzesi,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Benesse House,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Teshima Sanat Müzesi,HAS_ACTIVITY
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Les Archives du Coeur,HAS_ACTIVITY
LAPLAND TURU 19 – 24 OCAK,Jukkasjärvi,HAS_CITY
LAPLAND TURU 19 – 24 OCAK,Harads,HAS_CITY
LAPLAND TURU 19 – 24 OCAK,İsveç,HAS_COUNTRY
LAPLAND TURU 19 – 24 OCAK,ICEHOTEL,HAS_HOTEL
LAPLAND TURU 19 – 24 OCAK,Kaamos Hotel,HAS_HOTEL
LAPLAND TURU 19 – 24 OCAK,Treehotel,HAS_HOTEL
LAPLAND TURU 19 – 24 OCAK,Gece Safarisi,HAS_ACTIVITY
LAPLAND TURU 19 – 24 OCAK,Kar Mobili Safarisi,HAS_ACTIVITY
LAPLAND TURU 19 – 24 OCAK,Kış,HAS_SEASON
LAPLAND TURU 19 – 24 OCAK,DATE_2025-01-19,HAS_DATE_START
